"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"0","-79","-79","-79"
"1","-90","-90","-90"
"2","-79","-79","-79"
"3","-74","-74","-74"
"4","-63","-63","-63"
"5","-104","-104","-104"
"6","-87","-87","-87"
"7","-123","-123","-123"
"8","-66","-66","-66"
"9","-74","-74","-74"
"10","-74","-74","-74"
"11","-85","-85","-85"
"12","-83","-83","-83"
"13","-77","-77","-77"
"14","-73","-73","-73"
"15","-64","-64","-64"
"16","-81","-81","-81"
"17","-71","-71","-71"
"18","-73","-73","-73"
"19","-66","-66","-66"
"20","-101","-101","-101"
"21","-81","-81","-81"
"22","-88","-88","-88"
"23","-66","-66","-66"
"24","-72","-72","-72"
"25","-87","-87","-87"
"26","-64","-64","-64"
"27","-85","-85","-85"
"28","-82","-82","-82"
"29","-85","-85","-85"
"30","-66","-66","-66"
"31","-88","-88","-88"
"32","-91","-91","-91"
"33","-64","-64","-64"
"34","-79","-79","-79"
"35","-86","-86","-86"
"36","-70","-70","-70"
"37","-71","-71","-71"
"38","-87","-87","-87"
"39","-65","-65","-65"
"40","-65","-65","-65"
"41","-73","-73","-73"
"42","-71","-71","-71"
"43","-81","-81","-81"
"44","-78","-78","-78"
"45","-74","-74","-74"
"46","-82","-82","-82"
"47","-63","-63","-63"
"48","-69","-69","-69"
"49","-73","-73","-73"
"50","-64","-64","-64"
"51","-71","-71","-71"
"52","-66","-66","-66"
"53","-73","-73","-73"
"54","-76","-76","-76"
"55","-65","-65","-65"
"56","-75","-75","-75"
"57","-64","-64","-64"
"58","-63","-63","-63"
"59","-64","-64","-64"
"60","-64","-64","-64"
"61","-67","-67","-67"
"62","-63","-63","-63"
"63","-64","-64","-64"
"64","-62","-62","-62"
"65","-64","-64","-64"
"66","-64","-64","-64"
"67","-64","-64","-64"
"68","-64","-64","-64"
"69","-63","-63","-63"
"70","-63","-63","-63"
"71","-63","-63","-63"
"72","-65","-65","-65"
"73","-64","-64","-64"
"74","-64","-64","-64"
"75","-63","-63","-63"
"76","-65","-65","-65"
"77","-63","-63","-63"
"78","-63","-63","-63"
"79","-64","-64","-64"
"80","-65","-65","-65"
"81","-63","-63","-63"
"82","-64","-64","-64"
"83","-64","-64","-64"
"84","-63","-63","-63"
"85","-64","-64","-64"
"86","-63","-63","-63"
"87","-63","-63","-63"
"88","-58","-58","-58"
"89","-63","-63","-63"
"90","-63","-63","-63"
