"Step","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"0","-71","-71","-71"
"1","-89","-89","-89"
"2","-65","-65","-65"
"3","-63","-63","-63"
"4","-65","-65","-65"
"5","-65","-65","-65"
"6","-71","-71","-71"
"7","-67","-67","-67"
"8","-64","-64","-64"
"9","-64","-64","-64"
"10","-62","-62","-62"
"11","-63","-63","-63"
"12","-63","-63","-63"
"13","-65","-65","-65"
"14","-62","-62","-62"
"15","-64","-64","-64"
"16","-62","-62","-62"
"17","-62","-62","-62"
"18","-63","-63","-63"
"19","-63","-63","-63"
"20","-61","-61","-61"
"21","-63","-63","-63"
"22","-57","-57","-57"
"23","-63","-63","-63"
"24","-64","-64","-64"
"25","-62","-62","-62"
"26","-63","-63","-63"
"27","-61","-61","-61"
"28","-62","-62","-62"
"29","-64","-64","-64"
"30","-64","-64","-64"
"31","-63","-63","-63"
"32","-63","-63","-63"
"33","-64","-64","-64"
"34","-63","-63","-63"
"35","-62","-62","-62"
"36","-63","-63","-63"
"37","-63","-63","-63"
"38","-63","-63","-63"
"39","-63","-63","-63"
"40","-63","-63","-63"
"41","-60","-60","-60"
"42","-63","-63","-63"
"43","-64","-64","-64"
"44","-63","-63","-63"
"45","-63","-63","-63"
"46","-63","-63","-63"
"47","-63","-63","-63"
"48","-63","-63","-63"
"49","-63","-63","-63"
"50","-63","-63","-63"
"51","-61","-61","-61"
"52","-62","-62","-62"
"53","-62","-62","-62"
"54","-58","-58","-58"
"55","-64","-64","-64"
"56","-63","-63","-63"
"57","-63","-63","-63"
"58","-61","-61","-61"
"59","-62","-62","-62"
"60","-61","-61","-61"
"61","-58","-58","-58"
"62","-62","-62","-62"
"63","-61","-61","-61"
"64","-61","-61","-61"
"65","-62","-62","-62"
"66","-63","-63","-63"
"67","-61","-61","-61"
"68","-63","-63","-63"
"69","-61","-61","-61"
"70","-61","-61","-61"
"71","-62","-62","-62"
"72","-63","-63","-63"
"73","-62","-62","-62"
"74","-63","-63","-63"
"75","-61","-61","-61"
"76","-61","-61","-61"
"77","-63","-63","-63"
"78","-61","-61","-61"
"79","-62","-62","-62"
"80","-64","-64","-64"
"81","-62","-62","-62"
"82","-62","-62","-62"
"83","-61","-61","-61"
"84","-61","-61","-61"
"85","-60","-60","-60"
"86","-62","-62","-62"
"87","-62","-62","-62"
"88","-58","-58","-58"
"89","-61","-61","-61"
"90","-61","-61","-61"
"91","-61","-61","-61"
"92","-61","-61","-61"
"93","-62","-62","-62"
"94","-62","-62","-62"
"95","-61","-61","-61"
"96","-62","-62","-62"
"97","-62","-62","-62"
"98","-62","-62","-62"
"99","-63","-63","-63"
"100","-63","-63","-63"
"101","-62","-62","-62"
"102","-63","-63","-63"
"103","-58","-58","-58"
"104","-59","-59","-59"
"105","-62","-62","-62"
"106","-58","-58","-58"
"107","-62","-62","-62"
"108","-62","-62","-62"
"109","-61","-61","-61"
"110","-61","-61","-61"
"111","-62","-62","-62"
"112","-61","-61","-61"
"113","-60","-60","-60"
"114","-62","-62","-62"
"115","-58","-58","-58"
"116","-60","-60","-60"
"117","-62","-62","-62"
"118","-62","-62","-62"
"119","-61","-61","-61"
"120","-62","-62","-62"
"121","-61","-61","-61"
"122","-62","-62","-62"
"123","-60","-60","-60"
"124","-60","-60","-60"
"125","-62","-62","-62"
"126","-61","-61","-61"
"127","-60","-60","-60"
"128","-61","-61","-61"
"129","-62","-62","-62"
"130","-62","-62","-62"
"131","-62","-62","-62"
"132","-62","-62","-62"
"133","-62","-62","-62"
"134","-61","-61","-61"
"135","-61","-61","-61"
"136","-62","-62","-62"
"137","-61","-61","-61"
"138","-63","-63","-63"
"139","-60","-60","-60"
"140","-61","-61","-61"
"141","-61","-61","-61"
"142","-61","-61","-61"
"143","-62","-62","-62"
"144","-63","-63","-63"
"145","-61","-61","-61"
"146","-61","-61","-61"
"147","-61","-61","-61"
"148","-61","-61","-61"
"149","-61","-61","-61"
"150","-61","-61","-61"
"151","-61","-61","-61"
"152","-62","-62","-62"
"153","-61","-61","-61"
"154","-62","-62","-62"
"155","-61","-61","-61"
"156","-60","-60","-60"
"157","-61","-61","-61"
"158","-62","-62","-62"
"159","-61","-61","-61"
"160","-62","-62","-62"
"161","-63","-63","-63"
"162","-61","-61","-61"
"163","-60","-60","-60"
"164","-63","-63","-63"
"165","-61","-61","-61"
"166","-62","-62","-62"
"167","-61","-61","-61"
"168","-60","-60","-60"
"169","-60","-60","-60"
"170","-62","-62","-62"
"171","-62","-62","-62"
"172","-61","-61","-61"
"173","-62","-62","-62"
"174","-62","-62","-62"
"175","-62","-62","-62"
"176","-61","-61","-61"
"177","-61","-61","-61"
"178","-60","-60","-60"
"179","-61","-61","-61"
"180","-62","-62","-62"
"181","-61","-61","-61"
"182","-60","-60","-60"
"183","-62","-62","-62"
"184","-60","-60","-60"
"185","-61","-61","-61"
"186","-61","-61","-61"
"187","-60","-60","-60"
"188","-60","-60","-60"
"189","-62","-62","-62"
"190","-61","-61","-61"
"191","-61","-61","-61"
