"Step","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MIN","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MAX"
"0","-64","-64","-64"
"1","-75","-75","-75"
"2","-79","-79","-79"
"3","-63","-63","-63"
"4","-73","-73","-73"
"5","-94","-94","-94"
"6","-79","-79","-79"
"7","-72","-72","-72"
"8","-77","-77","-77"
"9","-86","-86","-86"
"10","-78","-78","-78"
"11","-81","-81","-81"
"12","-71","-71","-71"
"13","-66","-66","-66"
"14","-66","-66","-66"
"15","-86","-86","-86"
"16","-70","-70","-70"
"17","-78","-78","-78"
"18","-72","-72","-72"
"19","-77","-77","-77"
"20","-65","-65","-65"
"21","-87","-87","-87"
"22","-75","-75","-75"
"23","-71","-71","-71"
"24","-71","-71","-71"
"25","-75","-75","-75"
"26","-71","-71","-71"
"27","-67","-67","-67"
"28","-76","-76","-76"
"29","-64","-64","-64"
"30","-77","-77","-77"
"31","-81","-81","-81"
"32","-72","-72","-72"
"33","-63","-63","-63"
"34","-64","-64","-64"
"35","-63","-63","-63"
"36","-64","-64","-64"
"37","-66","-66","-66"
"38","-64","-64","-64"
"39","-64","-64","-64"
"40","-73","-73","-73"
"41","-64","-64","-64"
"42","-69","-69","-69"
"43","-65","-65","-65"
"44","-72","-72","-72"
"45","-72","-72","-72"
"46","-63","-63","-63"
"47","-78","-78","-78"
"48","-64","-64","-64"
"49","-63","-63","-63"
"50","-72","-72","-72"
"51","-63","-63","-63"
"52","-75","-75","-75"
"53","-63","-63","-63"
"54","-65","-65","-65"
"55","-65","-65","-65"
"56","-64","-64","-64"
"57","-72","-72","-72"
"58","-79","-79","-79"
"59","-67","-67","-67"
"60","-72","-72","-72"
"61","-73","-73","-73"
"62","-71","-71","-71"
"63","-64","-64","-64"
"64","-67","-67","-67"
"65","-82","-82","-82"
"66","-65","-65","-65"
"67","-71","-71","-71"
"68","-65","-65","-65"
"69","-66","-66","-66"
"70","-71","-71","-71"
"71","-73","-73","-73"
"72","-78","-78","-78"
"73","-65","-65","-65"
"74","-65","-65","-65"
"75","-71","-71","-71"
"76","-62","-62","-62"
"77","-63","-63","-63"
"78","-71","-71","-71"
"79","-71","-71","-71"
"80","-74","-74","-74"
"81","-64","-64","-64"
"82","-65","-65","-65"
"83","-71","-71","-71"
"84","-71","-71","-71"
"85","-65","-65","-65"
"86","-64","-64","-64"
"87","-66","-66","-66"
"88","-65","-65","-65"
"89","-63","-63","-63"
"90","-66","-66","-66"
"91","-63","-63","-63"
"92","-65","-65","-65"
"93","-65","-65","-65"
"94","-64","-64","-64"
"95","-72","-72","-72"
"96","-64","-64","-64"
"97","-67","-67","-67"
"98","-63","-63","-63"
"99","-65","-65","-65"
"100","-65","-65","-65"
"101","-69","-69","-69"
"102","-74","-74","-74"
"103","-65","-65","-65"
"104","-65","-65","-65"
"105","-64","-64","-64"
"106","-64","-64","-64"
"107","-63","-63","-63"
"108","-65","-65","-65"
"109","-64","-64","-64"
"110","-64","-64","-64"
"111","-72","-72","-72"
"112","-69","-69","-69"
"113","-65","-65","-65"
"114","-75","-75","-75"
"115","-64","-64","-64"
"116","-66","-66","-66"
"117","-64","-64","-64"
"118","-64","-64","-64"
"119","-64","-64","-64"
"120","-70","-70","-70"
"121","-66","-66","-66"
"122","-65","-65","-65"
"123","-64","-64","-64"
"124","-69","-69","-69"
"125","-63","-63","-63"
"126","-64","-64","-64"
"127","-64","-64","-64"
"128","-64","-64","-64"
"129","-64","-64","-64"
"130","-64","-64","-64"
"131","-64","-64","-64"
"132","-61","-61","-61"
"133","-64","-64","-64"
"134","-62","-62","-62"
"135","-64","-64","-64"
"136","-63","-63","-63"
"137","-64","-64","-64"
"138","-64","-64","-64"
"139","-64","-64","-64"
"140","-62","-62","-62"
"141","-62","-62","-62"
"142","-64","-64","-64"
"143","-64","-64","-64"
"144","-64","-64","-64"
"145","-65","-65","-65"
"146","-63","-63","-63"
"147","-63","-63","-63"
"148","-64","-64","-64"
"149","-64","-64","-64"
"150","-63","-63","-63"
"151","-60","-60","-60"
"152","-64","-64","-64"
"153","-63","-63","-63"
"154","-63","-63","-63"
"155","-63","-63","-63"
"156","-64","-64","-64"
"157","-64","-64","-64"
"158","-63","-63","-63"
"159","-64","-64","-64"
"160","-63","-63","-63"
"161","-63","-63","-63"
"162","-64","-64","-64"
"163","-63","-63","-63"
"164","-63","-63","-63"
"165","-63","-63","-63"
"166","-64","-64","-64"
"167","-63","-63","-63"
"168","-64","-64","-64"
"169","-58","-58","-58"
"170","-64","-64","-64"
"171","-63","-63","-63"
"172","-64","-64","-64"
"173","-63","-63","-63"
"174","-63","-63","-63"
"175","-62","-62","-62"
"176","-63","-63","-63"
"177","-57","-57","-57"
"178","-64","-64","-64"
"179","-63","-63","-63"
"180","-63","-63","-63"
"181","-63","-63","-63"
"182","-63","-63","-63"
"183","-63","-63","-63"
"184","-64","-64","-64"
"185","-63","-63","-63"
"186","-63","-63","-63"
"187","-62","-62","-62"
"188","-64","-64","-64"
"189","-64","-64","-64"
"190","-62","-62","-62"
"191","-64","-64","-64"
"192","-63","-63","-63"
"193","-63","-63","-63"
"194","-63","-63","-63"
"195","-63","-63","-63"
"196","-63","-63","-63"
"197","-63","-63","-63"
"198","-63","-63","-63"
"199","-64","-64","-64"
"200","-63","-63","-63"
"201","-63","-63","-63"
"202","-62","-62","-62"
"203","-63","-63","-63"
"204","-63","-63","-63"
"205","-62","-62","-62"
"206","-62","-62","-62"
"207","-63","-63","-63"
"208","-62","-62","-62"
"209","-63","-63","-63"
"210","-63","-63","-63"
"211","-62","-62","-62"
"212","-62","-62","-62"
"213","-63","-63","-63"
"214","-62","-62","-62"
"215","-64","-64","-64"
"216","-64","-64","-64"
"217","-63","-63","-63"
"218","-62","-62","-62"
"219","-63","-63","-63"
"220","-64","-64","-64"
"221","-63","-63","-63"
"222","-63","-63","-63"
"223","-63","-63","-63"
"224","-63","-63","-63"
"225","-62","-62","-62"
"226","-64","-64","-64"
"227","-62","-62","-62"
"228","-63","-63","-63"
"229","-63","-63","-63"
"230","-63","-63","-63"
"231","-63","-63","-63"
"232","-63","-63","-63"
"233","-64","-64","-64"
"234","-64","-64","-64"
"235","-63","-63","-63"
"236","-62","-62","-62"
"237","-64","-64","-64"
"238","-64","-64","-64"
"239","-63","-63","-63"
"240","-63","-63","-63"
"241","-63","-63","-63"
"242","-63","-63","-63"
"243","-63","-63","-63"
"244","-62","-62","-62"
"245","-64","-64","-64"
"246","-64","-64","-64"
"247","-63","-63","-63"
"248","-64","-64","-64"
"249","-63","-63","-63"
"250","-62","-62","-62"
"251","-63","-63","-63"
"252","-63","-63","-63"
"253","-63","-63","-63"
"254","-62","-62","-62"
"255","-63","-63","-63"
"256","-64","-64","-64"
"257","-63","-63","-63"
"258","-58","-58","-58"
"259","-63","-63","-63"
"260","-63","-63","-63"
"261","-63","-63","-63"
"262","-63","-63","-63"
"263","-64","-64","-64"
"264","-63","-63","-63"
"265","-63","-63","-63"
"266","-63","-63","-63"
"267","-63","-63","-63"
"268","-57","-57","-57"
"269","-63","-63","-63"
"270","-62","-62","-62"
"271","-63","-63","-63"
"272","-65","-65","-65"
"273","-63","-63","-63"
"274","-64","-64","-64"
"275","-65","-65","-65"
"276","-67","-67","-67"
"277","-64","-64","-64"
"278","-64","-64","-64"
"279","-63","-63","-63"
"280","-64","-64","-64"
"281","-64","-64","-64"
"282","-64","-64","-64"
"283","-66","-66","-66"
"284","-64","-64","-64"
"285","-64","-64","-64"
"286","-65","-65","-65"
"287","-63","-63","-63"
"288","-64","-64","-64"
"289","-63","-63","-63"
"290","-63","-63","-63"
"291","-63","-63","-63"
"292","-63","-63","-63"
"293","-63","-63","-63"
"294","-64","-64","-64"
"295","-63","-63","-63"
"296","-63","-63","-63"
"297","-64","-64","-64"
"298","-64","-64","-64"
"299","-64","-64","-64"
"300","-63","-63","-63"
"301","-63","-63","-63"
"302","-63","-63","-63"
"303","-63","-63","-63"
"304","-64","-64","-64"
"305","-64","-64","-64"
"306","-63","-63","-63"
"307","-64","-64","-64"
"308","-63","-63","-63"
"309","-65","-65","-65"
"310","-64","-64","-64"
"311","-65","-65","-65"
"312","-63","-63","-63"
"313","-63","-63","-63"
"314","-64","-64","-64"
"315","-63","-63","-63"
"316","-65","-65","-65"
"317","-64","-64","-64"
"318","-64","-64","-64"
"319","-63","-63","-63"
"320","-63","-63","-63"
"321","-64","-64","-64"
"322","-64","-64","-64"
"323","-63","-63","-63"
"324","-64","-64","-64"
"325","-63","-63","-63"
"326","-64","-64","-64"
"327","-62","-62","-62"
"328","-71","-71","-71"
"329","-63","-63","-63"
"330","-64","-64","-64"
"331","-63","-63","-63"
"332","-64","-64","-64"
"333","-65","-65","-65"
"334","-63","-63","-63"
"335","-69","-69","-69"
"336","-63","-63","-63"
"337","-64","-64","-64"
"338","-64","-64","-64"
"339","-62","-62","-62"
"340","-63","-63","-63"
"341","-63","-63","-63"
"342","-65","-65","-65"
"343","-63","-63","-63"
"344","-63","-63","-63"
"345","-64","-64","-64"
"346","-63","-63","-63"
"347","-63","-63","-63"
"348","-65","-65","-65"
"349","-64","-64","-64"
"350","-71","-71","-71"
"351","-65","-65","-65"
"352","-63","-63","-63"
"353","-64","-64","-64"
"354","-64","-64","-64"
"355","-64","-64","-64"
"356","-63","-63","-63"
"357","-64","-64","-64"
"358","-63","-63","-63"
"359","-64","-64","-64"
"360","-63","-63","-63"
"361","-62","-62","-62"
"362","-63","-63","-63"
"363","-63","-63","-63"
"364","-68","-68","-68"
"365","-67","-67","-67"
"366","-64","-64","-64"
"367","-70","-70","-70"
"368","-64","-64","-64"
"369","-65","-65","-65"
"370","-70","-70","-70"
"371","-63","-63","-63"
"372","-64","-64","-64"
"373","-64","-64","-64"
"374","-64","-64","-64"
"375","-63","-63","-63"
"376","-62","-62","-62"
"377","-70","-70","-70"
"378","-63","-63","-63"
"379","-57","-57","-57"
"380","-66","-66","-66"
"381","-68","-68","-68"
"382","-71","-71","-71"
"383","-64","-64","-64"
"384","-65","-65","-65"
"385","-64","-64","-64"
"386","-63","-63","-63"
"387","-63","-63","-63"
"388","-65","-65","-65"
"389","-68","-68","-68"
"390","-63","-63","-63"
"391","-67","-67","-67"
"392","-64","-64","-64"
"393","-63","-63","-63"
"394","-63","-63","-63"
"395","-63","-63","-63"
"396","-64","-64","-64"
"397","-63","-63","-63"
"398","-65","-65","-65"
"399","-57","-57","-57"
"400","-68","-68","-68"
"401","-64","-64","-64"
"402","-72","-72","-72"
"403","-64","-64","-64"
"404","-64","-64","-64"
"405","-64","-64","-64"
"406","-63","-63","-63"
"407","-63","-63","-63"
"408","-64","-64","-64"
"409","-65","-65","-65"
"410","-67","-67","-67"
"411","-72","-72","-72"
"412","-64","-64","-64"
"413","-64","-64","-64"
"414","-70","-70","-70"
"415","-63","-63","-63"
"416","-64","-64","-64"
"417","-65","-65","-65"
"418","-62","-62","-62"
"419","-64","-64","-64"
"420","-63","-63","-63"
"421","-63","-63","-63"
"422","-65","-65","-65"
"423","-64","-64","-64"
"424","-70","-70","-70"
"425","-63","-63","-63"
"426","-70","-70","-70"
"427","-62","-62","-62"
"428","-63","-63","-63"
"429","-69","-69","-69"
"430","-65","-65","-65"
"431","-64","-64","-64"
"432","-65","-65","-65"
"433","-69","-69","-69"
"434","-63","-63","-63"
"435","-71","-71","-71"
"436","-62","-62","-62"
"437","-66","-66","-66"
"438","-62","-62","-62"
"439","-63","-63","-63"
"440","-64","-64","-64"
"441","-63","-63","-63"
"442","-70","-70","-70"
"443","-65","-65","-65"
"444","-63","-63","-63"
"445","-64","-64","-64"
"446","-64","-64","-64"
"447","-63","-63","-63"
"448","-64","-64","-64"
"449","-63","-63","-63"
"450","-70","-70","-70"
"451","-64","-64","-64"
"452","-63","-63","-63"
"453","-62","-62","-62"
"454","-63","-63","-63"
"455","-63","-63","-63"
"456","-63","-63","-63"
"457","-62","-62","-62"
"458","-70","-70","-70"
"459","-65","-65","-65"
"460","-63","-63","-63"
"461","-65","-65","-65"
"462","-64","-64","-64"
"463","-65","-65","-65"
"464","-63","-63","-63"
"465","-62","-62","-62"
"466","-62","-62","-62"
"467","-65","-65","-65"
"468","-63","-63","-63"
"469","-69","-69","-69"
"470","-63","-63","-63"
"471","-64","-64","-64"
"472","-65","-65","-65"
"473","-64","-64","-64"
"474","-62","-62","-62"
"475","-63","-63","-63"
"476","-57","-57","-57"
"477","-64","-64","-64"
"478","-68","-68","-68"
"479","-58","-58","-58"
"480","-63","-63","-63"
"481","-63","-63","-63"
"482","-57","-57","-57"
"483","-71","-71","-71"
"484","-64","-64","-64"
"485","-63","-63","-63"
"486","-63","-63","-63"
"487","-62","-62","-62"
"488","-63","-63","-63"
"489","-64","-64","-64"
"490","-63","-63","-63"
"491","-65","-65","-65"
"492","-64","-64","-64"
