"Step","brax_ppo/num_timesteps_204480000 - current_best_fitness","brax_ppo/num_timesteps_204480000 - current_best_fitness__MIN","brax_ppo/num_timesteps_204480000 - current_best_fitness__MAX"
"0","-200","-200","-200"
"1","-200","-200","-200"
"2","-200","-200","-200"
"3","-199.171875","-199.171875","-199.171875"
"4","-183.0703125","-183.0703125","-183.0703125"
"5","-140.2578125","-140.2578125","-140.2578125"
"6","-109.171875","-109.171875","-109.171875"
"7","-106.84375","-106.84375","-106.84375"
"8","-108.9453125","-108.9453125","-108.9453125"
"9","-106.2890625","-106.2890625","-106.2890625"
"10","-99.9375","-99.9375","-99.9375"
"11","-92.7578125","-92.7578125","-92.7578125"
"12","-89.390625","-89.390625","-89.390625"
"13","-88.2265625","-88.2265625","-88.2265625"
"14","-86.0703125","-86.0703125","-86.0703125"
"15","-84.9609375","-84.9609375","-84.9609375"
"16","-86.9296875","-86.9296875","-86.9296875"
"17","-89.3359375","-89.3359375","-89.3359375"
"18","-89.3125","-89.3125","-89.3125"
"19","-86.828125","-86.828125","-86.828125"
"20","-84.609375","-84.609375","-84.609375"
"21","-83.3828125","-83.3828125","-83.3828125"
"22","-87.2734375","-87.2734375","-87.2734375"
"23","-86.640625","-86.640625","-86.640625"
"24","-84.171875","-84.171875","-84.171875"
"25","-82.171875","-82.171875","-82.171875"
"26","-82.0546875","-82.0546875","-82.0546875"
"27","-82.109375","-82.109375","-82.109375"
"28","-84.6328125","-84.6328125","-84.6328125"
"29","-80.78125","-80.78125","-80.78125"
"30","-81.5","-81.5","-81.5"
"31","-80.9609375","-80.9609375","-80.9609375"
"32","-81.671875","-81.671875","-81.671875"
"33","-81.0234375","-81.0234375","-81.0234375"
"34","-81.1953125","-81.1953125","-81.1953125"
"35","-83.2890625","-83.2890625","-83.2890625"
"36","-79.828125","-79.828125","-79.828125"
"37","-80.765625","-80.765625","-80.765625"
"38","-83.7890625","-83.7890625","-83.7890625"
"39","-82.15625","-82.15625","-82.15625"
"40","-82.9296875","-82.9296875","-82.9296875"
"41","-83.7421875","-83.7421875","-83.7421875"
"42","-82.65625","-82.65625","-82.65625"
"43","-81.7890625","-81.7890625","-81.7890625"
"44","-81.640625","-81.640625","-81.640625"
"45","-81.3125","-81.3125","-81.3125"
"46","-81.03125","-81.03125","-81.03125"
"47","-79.28125","-79.28125","-79.28125"
"48","-80.96875","-80.96875","-80.96875"
"49","-81.0234375","-81.0234375","-81.0234375"
"50","-81.609375","-81.609375","-81.609375"
"51","-80.203125","-80.203125","-80.203125"
"52","-80.390625","-80.390625","-80.390625"
"53","-81.1171875","-81.1171875","-81.1171875"
"54","-80.171875","-80.171875","-80.171875"
"55","-82.421875","-82.421875","-82.421875"
"56","-77.765625","-77.765625","-77.765625"
"57","-82.7890625","-82.7890625","-82.7890625"
"58","-81.5234375","-81.5234375","-81.5234375"
"59","-82.90625","-82.90625","-82.90625"
"60","-82.8359375","-82.8359375","-82.8359375"
"61","-83.6015625","-83.6015625","-83.6015625"
"62","-82.296875","-82.296875","-82.296875"
"63","-81.015625","-81.015625","-81.015625"
"64","-81.578125","-81.578125","-81.578125"
"65","-82.0078125","-82.0078125","-82.0078125"
"66","-86.40625","-86.40625","-86.40625"
"67","-80.5078125","-80.5078125","-80.5078125"
"68","-79.6640625","-79.6640625","-79.6640625"
"69","-84.4296875","-84.4296875","-84.4296875"
"70","-80.8203125","-80.8203125","-80.8203125"
"71","-81.671875","-81.671875","-81.671875"
"72","-81.53125","-81.53125","-81.53125"
"73","-81.015625","-81.015625","-81.015625"
"74","-83.0546875","-83.0546875","-83.0546875"
"75","-81.484375","-81.484375","-81.484375"
"76","-81.203125","-81.203125","-81.203125"
"77","-81.15625","-81.15625","-81.15625"
"78","-81.1171875","-81.1171875","-81.1171875"
"79","-83.203125","-83.203125","-83.203125"
"80","-83.0390625","-83.0390625","-83.0390625"
"81","-80.8125","-80.8125","-80.8125"
"82","-81.6484375","-81.6484375","-81.6484375"
"83","-84.4296875","-84.4296875","-84.4296875"
"84","-81.2421875","-81.2421875","-81.2421875"
"85","-84.5","-84.5","-84.5"
"86","-82.4375","-82.4375","-82.4375"
"87","-82.4609375","-82.4609375","-82.4609375"
"88","-84.4140625","-84.4140625","-84.4140625"
"89","-84.6015625","-84.6015625","-84.6015625"
"90","-85.0234375","-85.0234375","-85.0234375"
"91","-82.1328125","-82.1328125","-82.1328125"
"92","-82.6484375","-82.6484375","-82.6484375"
"93","-83.484375","-83.484375","-83.484375"
"94","-84.453125","-84.453125","-84.453125"
"95","-82.9140625","-82.9140625","-82.9140625"
"96","-81.4921875","-81.4921875","-81.4921875"
"97","-81.8359375","-81.8359375","-81.8359375"
"98","-84.578125","-84.578125","-84.578125"
"99","-83.03125","-83.03125","-83.03125"
"100","-83.109375","-83.109375","-83.109375"
"101","-82.4921875","-82.4921875","-82.4921875"
"102","-84.6015625","-84.6015625","-84.6015625"
"103","-83.203125","-83.203125","-83.203125"
"104","-79.40625","-79.40625","-79.40625"
"105","-85.1953125","-85.1953125","-85.1953125"
"106","-81.734375","-81.734375","-81.734375"
"107","-83.7578125","-83.7578125","-83.7578125"
"108","-82.9296875","-82.9296875","-82.9296875"
"109","-83.6171875","-83.6171875","-83.6171875"
"110","-82.0078125","-82.0078125","-82.0078125"
"111","-83.515625","-83.515625","-83.515625"
"112","-80.9375","-80.9375","-80.9375"
"113","-83.0390625","-83.0390625","-83.0390625"
"114","-82.1953125","-82.1953125","-82.1953125"
"115","-82.5625","-82.5625","-82.5625"
"116","-80.9140625","-80.9140625","-80.9140625"
"117","-82.75","-82.75","-82.75"
"118","-83.8984375","-83.8984375","-83.8984375"
"119","-80.578125","-80.578125","-80.578125"
"120","-84.578125","-84.578125","-84.578125"
"121","-83.15625","-83.15625","-83.15625"
"122","-81.59375","-81.59375","-81.59375"
"123","-84.7578125","-84.7578125","-84.7578125"
"124","-82.0390625","-82.0390625","-82.0390625"
"125","-83.71875","-83.71875","-83.71875"
"126","-81.9921875","-81.9921875","-81.9921875"
"127","-81.3046875","-81.3046875","-81.3046875"
"128","-82.5546875","-82.5546875","-82.5546875"
"129","-81.6796875","-81.6796875","-81.6796875"
"130","-82.2265625","-82.2265625","-82.2265625"
"131","-81.078125","-81.078125","-81.078125"
"132","-81.6328125","-81.6328125","-81.6328125"
"133","-81.34375","-81.34375","-81.34375"
"134","-84.2578125","-84.2578125","-84.2578125"
"135","-83.2578125","-83.2578125","-83.2578125"
"136","-85.0546875","-85.0546875","-85.0546875"
"137","-83.796875","-83.796875","-83.796875"
"138","-81.484375","-81.484375","-81.484375"
"139","-80.265625","-80.265625","-80.265625"
"140","-82.265625","-82.265625","-82.265625"
"141","-80.5625","-80.5625","-80.5625"
"142","-81.0234375","-81.0234375","-81.0234375"
"143","-84.0859375","-84.0859375","-84.0859375"
"144","-81.921875","-81.921875","-81.921875"
