"Step","brax_ppo/num_timesteps_204480000 - current_best_fitness","brax_ppo/num_timesteps_204480000 - current_best_fitness__MIN","brax_ppo/num_timesteps_204480000 - current_best_fitness__MAX"
"0","10.46875","10.46875","10.46875"
"1","11.6171875","11.6171875","11.6171875"
"2","11.484375","11.484375","11.484375"
"3","76.234375","76.234375","76.234375"
"4","184.5546875","184.5546875","184.5546875"
"5","196.3125","196.3125","196.3125"
"6","200","200","200"
"7","200","200","200"
"8","200","200","200"
"9","200","200","200"
"10","200","200","200"
"11","200","200","200"
"12","200","200","200"
"13","200","200","200"
"14","200","200","200"
"15","200","200","200"
"16","200","200","200"
"17","200","200","200"
"18","200","200","200"
"19","200","200","200"
"20","200","200","200"
"21","200","200","200"
"22","200","200","200"
"23","200","200","200"
"24","200","200","200"
"25","200","200","200"
"26","200","200","200"
"27","200","200","200"
"28","200","200","200"
"29","200","200","200"
"30","200","200","200"
"31","200","200","200"
"32","200","200","200"
"33","200","200","200"
"34","200","200","200"
"35","200","200","200"
"36","200","200","200"
"37","200","200","200"
"38","200","200","200"
"39","200","200","200"
"40","200","200","200"
"41","200","200","200"
"42","200","200","200"
"43","200","200","200"
"44","200","200","200"
"45","200","200","200"
"46","200","200","200"
"47","200","200","200"
"48","200","200","200"
"49","200","200","200"
"50","200","200","200"
"51","200","200","200"
"52","200","200","200"
"53","200","200","200"
"54","200","200","200"
"55","200","200","200"
"56","200","200","200"
"57","200","200","200"
"58","200","200","200"
"59","200","200","200"
"60","200","200","200"
"61","200","200","200"
"62","200","200","200"
"63","200","200","200"
"64","200","200","200"
"65","200","200","200"
"66","200","200","200"
"67","200","200","200"
"68","200","200","200"
"69","200","200","200"
"70","200","200","200"
"71","200","200","200"
"72","200","200","200"
"73","200","200","200"
"74","200","200","200"
"75","200","200","200"
"76","200","200","200"
"77","200","200","200"
"78","200","200","200"
"79","200","200","200"
"80","200","200","200"
"81","200","200","200"
"82","200","200","200"
"83","200","200","200"
"84","200","200","200"
"85","200","200","200"
"86","200","200","200"
"87","200","200","200"
"88","200","200","200"
"89","200","200","200"
"90","200","200","200"
"91","200","200","200"
"92","200","200","200"
"93","200","200","200"
"94","200","200","200"
"95","200","200","200"
"96","200","200","200"
"97","200","200","200"
"98","200","200","200"
"99","200","200","200"
"100","200","200","200"
"101","200","200","200"
"102","200","200","200"
"103","200","200","200"
"104","200","200","200"
"105","200","200","200"
"106","200","200","200"
"107","200","200","200"
"108","200","200","200"
"109","200","200","200"
"110","200","200","200"
"111","200","200","200"
"112","200","200","200"
"113","200","200","200"
"114","200","200","200"
"115","200","200","200"
"116","200","200","200"
"117","200","200","200"
"118","200","200","200"
"119","200","200","200"
"120","200","200","200"
"121","200","200","200"
"122","200","200","200"
"123","200","200","200"
"124","200","200","200"
"125","200","200","200"
"126","200","200","200"
"127","200","200","200"
"128","200","200","200"
"129","200","200","200"
"130","200","200","200"
"131","200","200","200"
"132","200","200","200"
"133","200","200","200"
"134","200","200","200"
"135","200","200","200"
"136","200","200","200"
"137","200","200","200"
"138","200","200","200"
"139","200","200","200"
"140","200","200","200"
"141","200","200","200"
"142","200","200","200"
"143","200","200","200"
"144","200","200","200"
"145","200","200","200"
"146","200","200","200"
"147","200","200","200"
"148","200","200","200"
"149","200","200","200"
"150","200","200","200"
"151","200","200","200"
"152","200","200","200"
"153","200","200","200"
"154","200","200","200"
"155","200","200","200"
"156","200","200","200"
"157","200","200","200"
"158","200","200","200"
"159","200","200","200"
"160","200","200","200"
"161","200","200","200"
"162","200","200","200"
"163","200","200","200"
"164","200","200","200"
"165","200","200","200"
"166","200","200","200"
"167","200","200","200"
"168","200","200","200"
"169","200","200","200"
"170","200","200","200"
"171","200","200","200"
"172","200","200","200"
"173","200","200","200"
"174","200","200","200"
"175","200","200","200"
"176","200","200","200"
"177","200","200","200"
"178","200","200","200"
"179","200","200","200"
"180","200","200","200"
"181","200","200","200"
"182","200","200","200"
"183","200","200","200"
"184","200","200","200"
"185","200","200","200"
"186","200","200","200"
"187","200","200","200"
"188","200","200","200"
"189","200","200","200"
"190","200","200","200"
"191","200","200","200"
"192","200","200","200"
"193","200","200","200"
"194","200","200","200"
"195","200","200","200"
"196","200","200","200"
"197","200","200","200"
"198","200","200","200"
"199","200","200","200"
"200","200","200","200"
"201","9.3671875","9.3671875","9.3671875"
"202","9.453125","9.453125","9.453125"
"203","9.421875","9.421875","9.421875"
"204","9.3984375","9.3984375","9.3984375"
"205","9.4140625","9.4140625","9.4140625"
"206","9.328125","9.328125","9.328125"
"207","9.5078125","9.5078125","9.5078125"
"208","9.359375","9.359375","9.359375"
"209","9.3984375","9.3984375","9.3984375"
"210","9.3984375","9.3984375","9.3984375"
"211","9.265625","9.265625","9.265625"
"212","9.390625","9.390625","9.390625"
"213","9.4375","9.4375","9.4375"
"214","9.4765625","9.4765625","9.4765625"
"215","9.375","9.375","9.375"
"216","9.3828125","9.3828125","9.3828125"
"217","9.2734375","9.2734375","9.2734375"
"218","9.3984375","9.3984375","9.3984375"
"219","9.375","9.375","9.375"
"220","9.4140625","9.4140625","9.4140625"
"221","9.4140625","9.4140625","9.4140625"
"222","9.5625","9.5625","9.5625"
"223","9.4609375","9.4609375","9.4609375"
"224","9.359375","9.359375","9.359375"
"225","9.3203125","9.3203125","9.3203125"
"226","9.421875","9.421875","9.421875"
"227","9.3671875","9.3671875","9.3671875"
"228","9.3515625","9.3515625","9.3515625"
"229","9.34375","9.34375","9.34375"
"230","9.3359375","9.3359375","9.3359375"
"231","9.3515625","9.3515625","9.3515625"
"232","9.3359375","9.3359375","9.3359375"
"233","9.2734375","9.2734375","9.2734375"
"234","9.4296875","9.4296875","9.4296875"
"235","9.4453125","9.4453125","9.4453125"
"236","9.3515625","9.3515625","9.3515625"
"237","9.3671875","9.3671875","9.3671875"
"238","9.3359375","9.3359375","9.3359375"
"239","9.34375","9.34375","9.34375"
"240","9.3671875","9.3671875","9.3671875"
"241","9.375","9.375","9.375"
"242","9.3984375","9.3984375","9.3984375"
"243","9.3125","9.3125","9.3125"
"244","9.4453125","9.4453125","9.4453125"
"245","9.3203125","9.3203125","9.3203125"
"246","9.3828125","9.3828125","9.3828125"
"247","9.3984375","9.3984375","9.3984375"
"248","9.3359375","9.3359375","9.3359375"
"249","9.21875","9.21875","9.21875"
"250","9.3515625","9.3515625","9.3515625"
"251","9.4140625","9.4140625","9.4140625"
"252","9.359375","9.359375","9.359375"
"253","9.2421875","9.2421875","9.2421875"
"254","9.3125","9.3125","9.3125"
"255","9.375","9.375","9.375"
"256","9.296875","9.296875","9.296875"
"257","9.296875","9.296875","9.296875"
"258","9.34375","9.34375","9.34375"
"259","9.3125","9.3125","9.3125"
"260","9.4765625","9.4765625","9.4765625"
"261","9.3046875","9.3046875","9.3046875"
"262","9.3359375","9.3359375","9.3359375"
"263","9.296875","9.296875","9.296875"
"264","9.4453125","9.4453125","9.4453125"
