"Step","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"0","-200","-200","-200"
"1","-200","-200","-200"
"2","-200","-200","-200"
"3","-200","-200","-200"
"4","-166","-166","-166"
"5","-200","-200","-200"
"6","-170","-170","-170"
"7","-200","-200","-200"
"8","-200","-200","-200"
"9","-200","-200","-200"
"10","-200","-200","-200"
"11","-200","-200","-200"
"12","-200","-200","-200"
"13","-200","-200","-200"
"14","-200","-200","-200"
"15","-200","-200","-200"
"16","-200","-200","-200"
"17","-200","-200","-200"
"18","-200","-200","-200"
"19","-200","-200","-200"
"20","-200","-200","-200"
"21","-200","-200","-200"
"22","-200","-200","-200"
"23","-200","-200","-200"
"24","-200","-200","-200"
"25","-200","-200","-200"
"26","-200","-200","-200"
"27","-200","-200","-200"
"28","-200","-200","-200"
"29","-200","-200","-200"
"30","-200","-200","-200"
"31","-200","-200","-200"
"32","-200","-200","-200"
"33","-200","-200","-200"
"34","-200","-200","-200"
"35","-200","-200","-200"
"36","-200","-200","-200"
"37","-200","-200","-200"
"38","-200","-200","-200"
"39","-200","-200","-200"
"40","-200","-200","-200"
"41","-200","-200","-200"
"42","-200","-200","-200"
"43","-200","-200","-200"
"44","-200","-200","-200"
"45","-200","-200","-200"
"46","-200","-200","-200"
"47","-200","-200","-200"
"48","-200","-200","-200"
"49","-200","-200","-200"
"50","-200","-200","-200"
"51","-200","-200","-200"
"52","-200","-200","-200"
"53","-200","-200","-200"
"54","-200","-200","-200"
"55","-200","-200","-200"
"56","-200","-200","-200"
"57","-200","-200","-200"
"58","-200","-200","-200"
"59","-200","-200","-200"
"60","-200","-200","-200"
"61","-200","-200","-200"
"62","-200","-200","-200"
"63","-200","-200","-200"
"64","-176","-176","-176"
"65","-200","-200","-200"
"66","-200","-200","-200"
"67","-200","-200","-200"
"68","-200","-200","-200"
"69","-200","-200","-200"
"70","-200","-200","-200"
"71","-200","-200","-200"
"72","-200","-200","-200"
"73","-200","-200","-200"
"74","-200","-200","-200"
"75","-200","-200","-200"
"76","-200","-200","-200"
"77","-200","-200","-200"
"78","-200","-200","-200"
"79","-200","-200","-200"
"80","-200","-200","-200"
"81","-88","-88","-88"
"82","-200","-200","-200"
"83","-186","-186","-186"
"84","-126","-126","-126"
"85","-200","-200","-200"
"86","-200","-200","-200"
"87","-157","-157","-157"
"88","-104","-104","-104"
"89","-200","-200","-200"
"90","-200","-200","-200"
"91","-200","-200","-200"
"92","-178","-178","-178"
"93","-163","-163","-163"
"94","-200","-200","-200"
"95","-135","-135","-135"
"96","-200","-200","-200"
"97","-200","-200","-200"
"98","-127","-127","-127"
"99","-200","-200","-200"
"100","-200","-200","-200"
"101","-200","-200","-200"
"102","-165","-165","-165"
"103","-137","-137","-137"
"104","-167","-167","-167"
"105","-146","-146","-146"
"106","-117","-117","-117"
"107","-151","-151","-151"
"108","-127","-127","-127"
"109","-109","-109","-109"
"110","-126","-126","-126"
"111","-192","-192","-192"
"112","-113","-113","-113"
"113","-118","-118","-118"
"114","-108","-108","-108"
"115","-129","-129","-129"
"116","-89","-89","-89"
"117","-120","-120","-120"
"118","-117","-117","-117"
"119","-117","-117","-117"
"120","-106","-106","-106"
"121","-121","-121","-121"
"122","-137","-137","-137"
"123","-93","-93","-93"
"124","-118","-118","-118"
"125","-85","-85","-85"
"126","-112","-112","-112"
"127","-115","-115","-115"
"128","-108","-108","-108"
"129","-106","-106","-106"
"130","-105","-105","-105"
"131","-86","-86","-86"
"132","-114","-114","-114"
"133","-91","-91","-91"
"134","-117","-117","-117"
"135","-91","-91","-91"
"136","-86","-86","-86"
"137","-102","-102","-102"
"138","-108","-108","-108"
"139","-87","-87","-87"
"140","-91","-91","-91"
"141","-84","-84","-84"
"142","-107","-107","-107"
"143","-85","-85","-85"
"144","-86","-86","-86"
"145","-106","-106","-106"
"146","-110","-110","-110"
"147","-89","-89","-89"
"148","-115","-115","-115"
"149","-89","-89","-89"
"150","-107","-107","-107"
"151","-84","-84","-84"
"152","-108","-108","-108"
"153","-111","-111","-111"
"154","-111","-111","-111"
"155","-108","-108","-108"
"156","-112","-112","-112"
"157","-104","-104","-104"
"158","-90","-90","-90"
"159","-117","-117","-117"
"160","-107","-107","-107"
"161","-105","-105","-105"
"162","-87","-87","-87"
"163","-93","-93","-93"
"164","-108","-108","-108"
"165","-106","-106","-106"
"166","-87","-87","-87"
"167","-106","-106","-106"
"168","-108","-108","-108"
"169","-109","-109","-109"
"170","-105","-105","-105"
"171","-113","-113","-113"
"172","-116","-116","-116"
"173","-109","-109","-109"
"174","-113","-113","-113"
"175","-106","-106","-106"
"176","-107","-107","-107"
"177","-112","-112","-112"
"178","-105","-105","-105"
"179","-88","-88","-88"
"180","-107","-107","-107"
"181","-88","-88","-88"
"182","-115","-115","-115"
"183","-85","-85","-85"
"184","-96","-96","-96"
"185","-99","-99","-99"
"186","-93","-93","-93"
"187","-94","-94","-94"
"188","-91","-91","-91"
"189","-109","-109","-109"
"190","-111","-111","-111"
"191","-111","-111","-111"
"192","-103","-103","-103"
"193","-109","-109","-109"
"194","-108","-108","-108"
"195","-109","-109","-109"
"196","-107","-107","-107"
"197","-107","-107","-107"
"198","-106","-106","-106"
"199","-108","-108","-108"
"200","-200","-200","-200"
"201","-200","-200","-200"
"202","-200","-200","-200"
"203","-200","-200","-200"
"204","-200","-200","-200"
"205","-200","-200","-200"
"206","-200","-200","-200"
"207","-200","-200","-200"
"208","-200","-200","-200"
"209","-200","-200","-200"
"210","-200","-200","-200"
"211","-200","-200","-200"
"212","-200","-200","-200"
"213","-200","-200","-200"
"214","-200","-200","-200"
"215","-200","-200","-200"
"216","-200","-200","-200"
"217","-200","-200","-200"
"218","-200","-200","-200"
"219","-200","-200","-200"
"220","-200","-200","-200"
"221","-200","-200","-200"
"222","-200","-200","-200"
"223","-200","-200","-200"
"224","-200","-200","-200"
"225","-200","-200","-200"
"226","-154","-154","-154"
"227","-200","-200","-200"
"228","-200","-200","-200"
"229","-200","-200","-200"
"230","-200","-200","-200"
"231","-200","-200","-200"
"232","-200","-200","-200"
"233","-200","-200","-200"
"234","-200","-200","-200"
"235","-200","-200","-200"
"236","-200","-200","-200"
"237","-200","-200","-200"
"238","-200","-200","-200"
"239","-200","-200","-200"
"240","-200","-200","-200"
"241","-200","-200","-200"
"242","-200","-200","-200"
"243","-200","-200","-200"
"244","-200","-200","-200"
"245","-200","-200","-200"
"246","-200","-200","-200"
"247","-200","-200","-200"
