"Step","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MIN","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MAX"
"0","-200","-200","-200"
"1","-200","-200","-200"
"2","-200","-200","-200"
"3","-200","-200","-200"
"4","-200","-200","-200"
"5","-200","-200","-200"
"6","-200","-200","-200"
"7","-200","-200","-200"
"8","-200","-200","-200"
"9","-200","-200","-200"
"10","-200","-200","-200"
"11","-200","-200","-200"
"12","-200","-200","-200"
"13","-200","-200","-200"
"14","-200","-200","-200"
"15","-200","-200","-200"
"16","-200","-200","-200"
"17","-200","-200","-200"
"18","-200","-200","-200"
"19","-200","-200","-200"
"20","-200","-200","-200"
"21","-200","-200","-200"
"22","-200","-200","-200"
"23","-200","-200","-200"
"24","-200","-200","-200"
"25","-200","-200","-200"
"26","-200","-200","-200"
"27","-200","-200","-200"
"28","-200","-200","-200"
"29","-200","-200","-200"
"30","-200","-200","-200"
"31","-200","-200","-200"
"32","-200","-200","-200"
"33","-200","-200","-200"
"34","-200","-200","-200"
"35","-145","-145","-145"
"36","-200","-200","-200"
"37","-200","-200","-200"
"38","-200","-200","-200"
"39","-200","-200","-200"
"40","-200","-200","-200"
"41","-200","-200","-200"
"42","-200","-200","-200"
"43","-200","-200","-200"
"44","-200","-200","-200"
"45","-200","-200","-200"
"46","-200","-200","-200"
"47","-200","-200","-200"
"48","-200","-200","-200"
"49","-200","-200","-200"
"50","-200","-200","-200"
"51","-200","-200","-200"
"52","-200","-200","-200"
"53","-200","-200","-200"
"54","-200","-200","-200"
"55","-200","-200","-200"
"56","-200","-200","-200"
"57","-200","-200","-200"
"58","-200","-200","-200"
"59","-200","-200","-200"
"60","-200","-200","-200"
"61","-200","-200","-200"
"62","-200","-200","-200"
"63","-200","-200","-200"
"64","-200","-200","-200"
"65","-200","-200","-200"
"66","-200","-200","-200"
"67","-200","-200","-200"
"68","-200","-200","-200"
"69","-200","-200","-200"
"70","-200","-200","-200"
"71","-200","-200","-200"
"72","-200","-200","-200"
"73","-200","-200","-200"
"74","-200","-200","-200"
"75","-200","-200","-200"
"76","-200","-200","-200"
"77","-200","-200","-200"
"78","-200","-200","-200"
"79","-200","-200","-200"
"80","-200","-200","-200"
"81","-200","-200","-200"
"82","-200","-200","-200"
"83","-137","-137","-137"
"84","-200","-200","-200"
"85","-200","-200","-200"
"86","-200","-200","-200"
"87","-200","-200","-200"
"88","-200","-200","-200"
"89","-200","-200","-200"
"90","-200","-200","-200"
"91","-200","-200","-200"
"92","-200","-200","-200"
"93","-200","-200","-200"
"94","-200","-200","-200"
"95","-200","-200","-200"
"96","-200","-200","-200"
"97","-200","-200","-200"
"98","-200","-200","-200"
"99","-200","-200","-200"
"100","-200","-200","-200"
"101","-200","-200","-200"
"102","-200","-200","-200"
"103","-200","-200","-200"
"104","-200","-200","-200"
"105","-200","-200","-200"
"106","-200","-200","-200"
"107","-200","-200","-200"
"108","-200","-200","-200"
"109","-200","-200","-200"
"110","-200","-200","-200"
"111","-200","-200","-200"
"112","-200","-200","-200"
"113","-146","-146","-146"
"114","-200","-200","-200"
"115","-200","-200","-200"
"116","-200","-200","-200"
"117","-200","-200","-200"
"118","-200","-200","-200"
"119","-200","-200","-200"
"120","-200","-200","-200"
"121","-200","-200","-200"
"122","-200","-200","-200"
"123","-200","-200","-200"
"124","-200","-200","-200"
"125","-200","-200","-200"
"126","-200","-200","-200"
"127","-200","-200","-200"
"128","-200","-200","-200"
"129","-200","-200","-200"
"130","-200","-200","-200"
"131","-200","-200","-200"
"132","-200","-200","-200"
"133","-200","-200","-200"
"134","-200","-200","-200"
"135","-200","-200","-200"
"136","-200","-200","-200"
"137","-200","-200","-200"
"138","-200","-200","-200"
"139","-200","-200","-200"
"140","-200","-200","-200"
"141","-200","-200","-200"
"142","-200","-200","-200"
"143","-200","-200","-200"
"144","-200","-200","-200"
"145","-200","-200","-200"
"146","-200","-200","-200"
"147","-200","-200","-200"
"148","-200","-200","-200"
"149","-174","-174","-174"
"150","-200","-200","-200"
"151","-200","-200","-200"
"152","-200","-200","-200"
"153","-200","-200","-200"
"154","-200","-200","-200"
"155","-128","-128","-128"
"156","-200","-200","-200"
"157","-200","-200","-200"
"158","-200","-200","-200"
"159","-194","-194","-194"
"160","-200","-200","-200"
"161","-200","-200","-200"
"162","-200","-200","-200"
"163","-200","-200","-200"
"164","-200","-200","-200"
"165","-200","-200","-200"
"166","-200","-200","-200"
"167","-116","-116","-116"
"168","-200","-200","-200"
"169","-200","-200","-200"
"170","-200","-200","-200"
"171","-200","-200","-200"
"172","-200","-200","-200"
"173","-200","-200","-200"
"174","-200","-200","-200"
"175","-200","-200","-200"
"176","-200","-200","-200"
"177","-180","-180","-180"
"178","-200","-200","-200"
"179","-200","-200","-200"
"180","-200","-200","-200"
"181","-200","-200","-200"
"182","-200","-200","-200"
"183","-200","-200","-200"
"184","-200","-200","-200"
"185","-200","-200","-200"
"186","-200","-200","-200"
"187","-200","-200","-200"
"188","-200","-200","-200"
"189","-200","-200","-200"
"190","-200","-200","-200"
"191","-200","-200","-200"
"192","-200","-200","-200"
"193","-187","-187","-187"
"194","-200","-200","-200"
"195","-154","-154","-154"
"196","-155","-155","-155"
"197","-200","-200","-200"
"198","-141","-141","-141"
"199","-200","-200","-200"
"200","-200","-200","-200"
"201","-200","-200","-200"
"202","-200","-200","-200"
"203","-200","-200","-200"
"204","-200","-200","-200"
"205","-200","-200","-200"
"206","-200","-200","-200"
"207","-200","-200","-200"
"208","-200","-200","-200"
"209","-200","-200","-200"
"210","-200","-200","-200"
"211","-200","-200","-200"
"212","-200","-200","-200"
"213","-200","-200","-200"
"214","-200","-200","-200"
"215","-200","-200","-200"
"216","-200","-200","-200"
"217","-200","-200","-200"
"218","-200","-200","-200"
"219","-200","-200","-200"
"220","-200","-200","-200"
"221","-200","-200","-200"
"222","-200","-200","-200"
"223","-200","-200","-200"
"224","-200","-200","-200"
"225","-200","-200","-200"
"226","-200","-200","-200"
"227","-159","-159","-159"
"228","-200","-200","-200"
"229","-200","-200","-200"
"230","-200","-200","-200"
"231","-137","-137","-137"
"232","-200","-200","-200"
"233","-200","-200","-200"
"234","-200","-200","-200"
"235","-200","-200","-200"
"236","-200","-200","-200"
"237","-200","-200","-200"
"238","-200","-200","-200"
"239","-200","-200","-200"
"240","-200","-200","-200"
"241","-200","-200","-200"
"242","-200","-200","-200"
"243","-200","-200","-200"
"244","-200","-200","-200"
"245","-200","-200","-200"
"246","-200","-200","-200"
"247","-200","-200","-200"
"248","-200","-200","-200"
"249","-200","-200","-200"
"250","-200","-200","-200"
"251","-200","-200","-200"
