"Step","brax_ppo/num_timesteps_204480000 - current_best_fitness","brax_ppo/num_timesteps_204480000 - current_best_fitness__MIN","brax_ppo/num_timesteps_204480000 - current_best_fitness__MAX"
"0","-200","-200","-200"
"1","-200","-200","-200"
"2","-200","-200","-200"
"3","-200","-200","-200"
"4","-200","-200","-200"
"5","-200","-200","-200"
"6","-200","-200","-200"
"7","-200","-200","-200"
"8","-200","-200","-200"
"9","-200","-200","-200"
"10","-200","-200","-200"
"11","-196.125","-196.125","-196.125"
"12","-199.203125","-199.203125","-199.203125"
"13","-195.6953125","-195.6953125","-195.6953125"
"14","-195.3515625","-195.3515625","-195.3515625"
"15","-193.390625","-193.390625","-193.390625"
"16","-174.5390625","-174.5390625","-174.5390625"
"17","-168.2109375","-168.2109375","-168.2109375"
"18","-160.546875","-160.546875","-160.546875"
"19","-156.2734375","-156.2734375","-156.2734375"
"20","-156.0625","-156.0625","-156.0625"
"21","-141.3984375","-141.3984375","-141.3984375"
"22","-142.34375","-142.34375","-142.34375"
"23","-127.5625","-127.5625","-127.5625"
"24","-125.0625","-125.0625","-125.0625"
"25","-126.0234375","-126.0234375","-126.0234375"
"26","-126.546875","-126.546875","-126.546875"
"27","-125.5","-125.5","-125.5"
"28","-126.3359375","-126.3359375","-126.3359375"
"29","-122.78125","-122.78125","-122.78125"
"30","-108.1953125","-108.1953125","-108.1953125"
"31","-118.265625","-118.265625","-118.265625"
"32","-128.0078125","-128.0078125","-128.0078125"
"33","-124.0859375","-124.0859375","-124.0859375"
"34","-133.453125","-133.453125","-133.453125"
"35","-133.5390625","-133.5390625","-133.5390625"
"36","-132.6484375","-132.6484375","-132.6484375"
"37","-133.53125","-133.53125","-133.53125"
"38","-131.7265625","-131.7265625","-131.7265625"
"39","-133.859375","-133.859375","-133.859375"
"40","-134.5","-134.5","-134.5"
"41","-133.546875","-133.546875","-133.546875"
"42","-135.890625","-135.890625","-135.890625"
"43","-132.90625","-132.90625","-132.90625"
"44","-135.078125","-135.078125","-135.078125"
"45","-131.8359375","-131.8359375","-131.8359375"
"46","-134.203125","-134.203125","-134.203125"
"47","-138.0859375","-138.0859375","-138.0859375"
"48","-133.4765625","-133.4765625","-133.4765625"
"49","-130.5","-130.5","-130.5"
"50","-133.5625","-133.5625","-133.5625"
"51","-130.8828125","-130.8828125","-130.8828125"
"52","-132.046875","-132.046875","-132.046875"
"53","-136.0859375","-136.0859375","-136.0859375"
"54","-137.359375","-137.359375","-137.359375"
"55","-132.515625","-132.515625","-132.515625"
"56","-136.8203125","-136.8203125","-136.8203125"
"57","-131.5546875","-131.5546875","-131.5546875"
"58","-133.9375","-133.9375","-133.9375"
"59","-131.1171875","-131.1171875","-131.1171875"
"60","-143.125","-143.125","-143.125"
"61","-135.578125","-135.578125","-135.578125"
"62","-136.2734375","-136.2734375","-136.2734375"
"63","-132.4609375","-132.4609375","-132.4609375"
"64","-138.140625","-138.140625","-138.140625"
"65","-132.5859375","-132.5859375","-132.5859375"
"66","-133.03125","-133.03125","-133.03125"
"67","-133.6953125","-133.6953125","-133.6953125"
"68","-128.5078125","-128.5078125","-128.5078125"
"69","-130.5390625","-130.5390625","-130.5390625"
"70","-132.875","-132.875","-132.875"
"71","-137.9609375","-137.9609375","-137.9609375"
"72","-133.4296875","-133.4296875","-133.4296875"
"73","-126.4296875","-126.4296875","-126.4296875"
"74","-129.3984375","-129.3984375","-129.3984375"
"75","-132.9296875","-132.9296875","-132.9296875"
"76","-135.390625","-135.390625","-135.390625"
"77","-138.859375","-138.859375","-138.859375"
"78","-136.65625","-136.65625","-136.65625"
"79","-132.3984375","-132.3984375","-132.3984375"
"80","-139","-139","-139"
"81","-131.6953125","-131.6953125","-131.6953125"
"82","-128.796875","-128.796875","-128.796875"
"83","-130.796875","-130.796875","-130.796875"
"84","-133.6875","-133.6875","-133.6875"
"85","-132.875","-132.875","-132.875"
"86","-128.3203125","-128.3203125","-128.3203125"
"87","-130.5546875","-130.5546875","-130.5546875"
"88","-130.5625","-130.5625","-130.5625"
"89","-132.8203125","-132.8203125","-132.8203125"
"90","-135.78125","-135.78125","-135.78125"
"91","-135.828125","-135.828125","-135.828125"
"92","-135.5","-135.5","-135.5"
"93","-131.9453125","-131.9453125","-131.9453125"
"94","-131.6484375","-131.6484375","-131.6484375"
"95","-130.9140625","-130.9140625","-130.9140625"
"96","-131.9296875","-131.9296875","-131.9296875"
"97","-137.8984375","-137.8984375","-137.8984375"
"98","-132.3984375","-132.3984375","-132.3984375"
"99","-131.9140625","-131.9140625","-131.9140625"
"100","-132.0859375","-132.0859375","-132.0859375"
"101","-133.421875","-133.421875","-133.421875"
"102","-131.328125","-131.328125","-131.328125"
"103","-133.2890625","-133.2890625","-133.2890625"
"104","-132.65625","-132.65625","-132.65625"
"105","-132.203125","-132.203125","-132.203125"
"106","-124.4921875","-124.4921875","-124.4921875"
"107","-133.484375","-133.484375","-133.484375"
"108","-133.25","-133.25","-133.25"
"109","-132.1328125","-132.1328125","-132.1328125"
"110","-129.78125","-129.78125","-129.78125"
"111","-131.4296875","-131.4296875","-131.4296875"
"112","-133.03125","-133.03125","-133.03125"
"113","-132.5234375","-132.5234375","-132.5234375"
"114","-137.5859375","-137.5859375","-137.5859375"
"115","-133.765625","-133.765625","-133.765625"
"116","-133.1015625","-133.1015625","-133.1015625"
"117","-130.8984375","-130.8984375","-130.8984375"
"118","-127.78125","-127.78125","-127.78125"
"119","-136.046875","-136.046875","-136.046875"
"120","-130.9375","-130.9375","-130.9375"
"121","-133.5234375","-133.5234375","-133.5234375"
"122","-132.3046875","-132.3046875","-132.3046875"
"123","-136.5859375","-136.5859375","-136.5859375"
"124","-132.390625","-132.390625","-132.390625"
"125","-126.5234375","-126.5234375","-126.5234375"
"126","-129.2890625","-129.2890625","-129.2890625"
"127","-129.765625","-129.765625","-129.765625"
"128","-126.609375","-126.609375","-126.609375"
"129","-130.75","-130.75","-130.75"
"130","-127.9609375","-127.9609375","-127.9609375"
"131","-137.1796875","-137.1796875","-137.1796875"
"132","-133.8125","-133.8125","-133.8125"
"133","-127.59375","-127.59375","-127.59375"
"134","-131.53125","-131.53125","-131.53125"
"135","-135.4375","-135.4375","-135.4375"
"136","-131.09375","-131.09375","-131.09375"
"137","-133.0546875","-133.0546875","-133.0546875"
"138","-134.390625","-134.390625","-134.390625"
"139","-137.4921875","-137.4921875","-137.4921875"
"140","-132.3671875","-132.3671875","-132.3671875"
"141","-131.8359375","-131.8359375","-131.8359375"
"142","-126.5625","-126.5625","-126.5625"
"143","-123.1171875","-123.1171875","-123.1171875"
"144","-134.7734375","-134.7734375","-134.7734375"
"145","-130.265625","-130.265625","-130.265625"
"146","-131.328125","-131.328125","-131.328125"
"147","-127.359375","-127.359375","-127.359375"
"148","-130.84375","-130.84375","-130.84375"
"149","-130.765625","-130.765625","-130.765625"
