"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"0","-92","-92","-92"
"1","-109","-109","-109"
"2","-92","-92","-92"
"3","-95","-95","-95"
"4","-113","-113","-113"
"5","-144","-144","-144"
"6","-88","-88","-88"
"7","-89","-89","-89"
"8","-96","-96","-96"
"9","-109","-109","-109"
"10","-87","-87","-87"
"11","-92","-92","-92"
"12","-116","-116","-116"
"13","-85","-85","-85"
"14","-121","-121","-121"
"15","-200","-200","-200"
"16","-87","-87","-87"
"17","-99","-99","-99"
"18","-65","-65","-65"
"19","-112","-112","-112"
"20","-63","-63","-63"
"21","-75","-75","-75"
"22","-72","-72","-72"
"23","-94","-94","-94"
"24","-84","-84","-84"
"25","-90","-90","-90"
"26","-121","-121","-121"
"27","-73","-73","-73"
"28","-149","-149","-149"
"29","-75","-75","-75"
"30","-76","-76","-76"
"31","-85","-85","-85"
"32","-74","-74","-74"
"33","-66","-66","-66"
"34","-72","-72","-72"
"35","-80","-80","-80"
"36","-77","-77","-77"
"37","-71","-71","-71"
"38","-71","-71","-71"
"39","-72","-72","-72"
"40","-82","-82","-82"
"41","-78","-78","-78"
"42","-72","-72","-72"
"43","-73","-73","-73"
"44","-79","-79","-79"
"45","-72","-72","-72"
"46","-77","-77","-77"
"47","-67","-67","-67"
"48","-65","-65","-65"
"49","-65","-65","-65"
"50","-72","-72","-72"
"51","-63","-63","-63"
"52","-66","-66","-66"
"53","-72","-72","-72"
"54","-63","-63","-63"
"55","-71","-71","-71"
"56","-64","-64","-64"
"57","-65","-65","-65"
"58","-65","-65","-65"
"59","-64","-64","-64"
"60","-64","-64","-64"
"61","-64","-64","-64"
"62","-65","-65","-65"
"63","-65","-65","-65"
"64","-64","-64","-64"
"65","-64","-64","-64"
"66","-65","-65","-65"
"67","-63","-63","-63"
"68","-63","-63","-63"
"69","-64","-64","-64"
"70","-64","-64","-64"
"71","-63","-63","-63"
"72","-63","-63","-63"
"73","-63","-63","-63"
"74","-64","-64","-64"
"75","-63","-63","-63"
"76","-64","-64","-64"
"77","-64","-64","-64"
"78","-64","-64","-64"
"79","-64","-64","-64"
"80","-63","-63","-63"
"81","-64","-64","-64"
"82","-64","-64","-64"
"83","-62","-62","-62"
"84","-63","-63","-63"
"85","-64","-64","-64"
"86","-62","-62","-62"
"87","-63","-63","-63"
"88","-63","-63","-63"
"89","-63","-63","-63"
"90","-63","-63","-63"
"91","-64","-64","-64"
"92","-64","-64","-64"
"93","-63","-63","-63"
"94","-63","-63","-63"
"95","-63","-63","-63"
"96","-64","-64","-64"
"97","-64","-64","-64"
"98","-63","-63","-63"
"99","-64","-64","-64"
"100","-63","-63","-63"
"101","-64","-64","-64"
"102","-64","-64","-64"
"103","-63","-63","-63"
"104","-63","-63","-63"
"105","-63","-63","-63"
"106","-64","-64","-64"
"107","-63","-63","-63"
"108","-63","-63","-63"
"109","-64","-64","-64"
"110","-64","-64","-64"
"111","-64","-64","-64"
"112","-64","-64","-64"
"113","-63","-63","-63"
"114","-63","-63","-63"
"115","-63","-63","-63"
"116","-64","-64","-64"
"117","-63","-63","-63"
"118","-64","-64","-64"
"119","-63","-63","-63"
"120","-64","-64","-64"
"121","-64","-64","-64"
"122","-63","-63","-63"
"123","-64","-64","-64"
"124","-64","-64","-64"
"125","-65","-65","-65"
"126","-63","-63","-63"
"127","-63","-63","-63"
"128","-64","-64","-64"
"129","-63","-63","-63"
"130","-64","-64","-64"
"131","-63","-63","-63"
"132","-64","-64","-64"
"133","-63","-63","-63"
"134","-64","-64","-64"
"135","-64","-64","-64"
"136","-64","-64","-64"
"137","-64","-64","-64"
"138","-63","-63","-63"
"139","-64","-64","-64"
"140","-64","-64","-64"
"141","-64","-64","-64"
"142","-63","-63","-63"
"143","-63","-63","-63"
"144","-64","-64","-64"
"145","-63","-63","-63"
"146","-64","-64","-64"
"147","-63","-63","-63"
"148","-62","-62","-62"
"149","-63","-63","-63"
"150","-64","-64","-64"
"151","-63","-63","-63"
"152","-63","-63","-63"
"153","-63","-63","-63"
"154","-64","-64","-64"
"155","-64","-64","-64"
"156","-64","-64","-64"
"157","-63","-63","-63"
"158","-63","-63","-63"
"159","-64","-64","-64"
"160","-64","-64","-64"
"161","-65","-65","-65"
"162","-64","-64","-64"
"163","-63","-63","-63"
"164","-63","-63","-63"
"165","-63","-63","-63"
"166","-64","-64","-64"
"167","-63","-63","-63"
"168","-64","-64","-64"
"169","-64","-64","-64"
"170","-64","-64","-64"
"171","-64","-64","-64"
"172","-64","-64","-64"
"173","-63","-63","-63"
"174","-63","-63","-63"
"175","-64","-64","-64"
"176","-64","-64","-64"
"177","-64","-64","-64"
"178","-63","-63","-63"
"179","-64","-64","-64"
"180","-63","-63","-63"
"181","-64","-64","-64"
"182","-64","-64","-64"
"183","-63","-63","-63"
"184","-64","-64","-64"
"185","-64","-64","-64"
"186","-64","-64","-64"
"187","-64","-64","-64"
"188","-64","-64","-64"
"189","-63","-63","-63"
"190","-63","-63","-63"
"191","-62","-62","-62"
"192","-63","-63","-63"
"193","-63","-63","-63"
"194","-64","-64","-64"
"195","-63","-63","-63"
"196","-63","-63","-63"
"197","-64","-64","-64"
"198","-63","-63","-63"
"199","-64","-64","-64"
"200","-63","-63","-63"
"201","-64","-64","-64"
"202","-64","-64","-64"
"203","-63","-63","-63"
"204","-64","-64","-64"
"205","-63","-63","-63"
"206","-63","-63","-63"
"207","-64","-64","-64"
"208","-63","-63","-63"
"209","-63","-63","-63"
"210","-64","-64","-64"
"211","-63","-63","-63"
"212","-62","-62","-62"
"213","-63","-63","-63"
"214","-62","-62","-62"
"215","-63","-63","-63"
"216","-63","-63","-63"
"217","-63","-63","-63"
"218","-63","-63","-63"
"219","-64","-64","-64"
"220","-63","-63","-63"
"221","-64","-64","-64"
"222","-62","-62","-62"
"223","-62","-62","-62"
"224","-63","-63","-63"
"225","-62","-62","-62"
"226","-63","-63","-63"
"227","-63","-63","-63"
"228","-63","-63","-63"
"229","-63","-63","-63"
"230","-63","-63","-63"
"231","-63","-63","-63"
"232","-63","-63","-63"
"233","-63","-63","-63"
"234","-63","-63","-63"
"235","-63","-63","-63"
"236","-63","-63","-63"
"237","-64","-64","-64"
"238","-63","-63","-63"
"239","-62","-62","-62"
"240","-63","-63","-63"
"241","-63","-63","-63"
"242","-63","-63","-63"
"243","-62","-62","-62"
"244","-63","-63","-63"
"245","-63","-63","-63"
"246","-63","-63","-63"
"247","-63","-63","-63"
"248","-62","-62","-62"
"249","-61","-61","-61"
"250","-62","-62","-62"
"251","-63","-63","-63"
"252","-63","-63","-63"
"253","-63","-63","-63"
"254","-62","-62","-62"
"255","-64","-64","-64"
"256","-63","-63","-63"
"257","-63","-63","-63"
"258","-63","-63","-63"
"259","-63","-63","-63"
"260","-63","-63","-63"
"261","-62","-62","-62"
"262","-63","-63","-63"
"263","-63","-63","-63"
"264","-63","-63","-63"
"265","-62","-62","-62"
"266","-63","-63","-63"
"267","-63","-63","-63"
"268","-62","-62","-62"
"269","-64","-64","-64"
"270","-63","-63","-63"
"271","-63","-63","-63"
"272","-63","-63","-63"
"273","-63","-63","-63"
"274","-62","-62","-62"
"275","-63","-63","-63"
"276","-62","-62","-62"
"277","-63","-63","-63"
"278","-63","-63","-63"
"279","-62","-62","-62"
"280","-63","-63","-63"
"281","-61","-61","-61"
"282","-63","-63","-63"
"283","-63","-63","-63"
"284","-62","-62","-62"
"285","-62","-62","-62"
"286","-63","-63","-63"
"287","-62","-62","-62"
"288","-63","-63","-63"
"289","-63","-63","-63"
"290","-62","-62","-62"
"291","-62","-62","-62"
"292","-63","-63","-63"
"293","-62","-62","-62"
"294","-61","-61","-61"
"295","-63","-63","-63"
"296","-63","-63","-63"
"297","-62","-62","-62"
"298","-63","-63","-63"
"299","-63","-63","-63"
"300","-62","-62","-62"
"301","-63","-63","-63"
"302","-63","-63","-63"
"303","-63","-63","-63"
"304","-63","-63","-63"
"305","-62","-62","-62"
"306","-60","-60","-60"
"307","-62","-62","-62"
"308","-62","-62","-62"
"309","-62","-62","-62"
"310","-63","-63","-63"
