"Step","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"0","-66","-66","-66"
"1","-64","-64","-64"
"2","-75","-75","-75"
"3","-63","-63","-63"
"4","-62","-62","-62"
"5","-62","-62","-62"
"6","-64","-64","-64"
"7","-63","-63","-63"
"8","-63","-63","-63"
"9","-63","-63","-63"
"10","-63","-63","-63"
"11","-62","-62","-62"
"12","-64","-64","-64"
"13","-63","-63","-63"
"14","-63","-63","-63"
"15","-62","-62","-62"
"16","-62","-62","-62"
"17","-63","-63","-63"
"18","-63","-63","-63"
"19","-62","-62","-62"
"20","-64","-64","-64"
"21","-63","-63","-63"
"22","-63","-63","-63"
"23","-62","-62","-62"
"24","-63","-63","-63"
"25","-62","-62","-62"
"26","-63","-63","-63"
"27","-63","-63","-63"
"28","-64","-64","-64"
"29","-63","-63","-63"
"30","-62","-62","-62"
"31","-63","-63","-63"
"32","-61","-61","-61"
"33","-63","-63","-63"
"34","-63","-63","-63"
"35","-62","-62","-62"
"36","-63","-63","-63"
"37","-63","-63","-63"
"38","-63","-63","-63"
"39","-63","-63","-63"
"40","-63","-63","-63"
"41","-62","-62","-62"
"42","-63","-63","-63"
"43","-63","-63","-63"
"44","-62","-62","-62"
"45","-60","-60","-60"
"46","-63","-63","-63"
"47","-63","-63","-63"
"48","-61","-61","-61"
"49","-62","-62","-62"
"50","-63","-63","-63"
"51","-62","-62","-62"
"52","-63","-63","-63"
"53","-62","-62","-62"
"54","-62","-62","-62"
"55","-62","-62","-62"
"56","-63","-63","-63"
"57","-62","-62","-62"
"58","-63","-63","-63"
"59","-62","-62","-62"
"60","-64","-64","-64"
"61","-61","-61","-61"
"62","-62","-62","-62"
"63","-62","-62","-62"
"64","-62","-62","-62"
"65","-62","-62","-62"
"66","-62","-62","-62"
"67","-63","-63","-63"
"68","-61","-61","-61"
"69","-63","-63","-63"
"70","-62","-62","-62"
"71","-63","-63","-63"
"72","-63","-63","-63"
"73","-61","-61","-61"
"74","-61","-61","-61"
"75","-62","-62","-62"
"76","-63","-63","-63"
"77","-61","-61","-61"
"78","-62","-62","-62"
"79","-60","-60","-60"
"80","-62","-62","-62"
"81","-61","-61","-61"
"82","-60","-60","-60"
"83","-62","-62","-62"
"84","-62","-62","-62"
"85","-62","-62","-62"
"86","-62","-62","-62"
"87","-62","-62","-62"
"88","-62","-62","-62"
"89","-62","-62","-62"
"90","-62","-62","-62"
"91","-60","-60","-60"
"92","-62","-62","-62"
"93","-62","-62","-62"
"94","-61","-61","-61"
"95","-62","-62","-62"
"96","-62","-62","-62"
"97","-63","-63","-63"
"98","-61","-61","-61"
"99","-63","-63","-63"
"100","-60","-60","-60"
"101","-62","-62","-62"
"102","-62","-62","-62"
"103","-61","-61","-61"
"104","-62","-62","-62"
"105","-62","-62","-62"
"106","-62","-62","-62"
"107","-62","-62","-62"
"108","-59","-59","-59"
"109","-57","-57","-57"
"110","-61","-61","-61"
"111","-60","-60","-60"
"112","-61","-61","-61"
"113","-62","-62","-62"
"114","-62","-62","-62"
"115","-61","-61","-61"
"116","-62","-62","-62"
"117","-61","-61","-61"
"118","-62","-62","-62"
"119","-60","-60","-60"
"120","-60","-60","-60"
"121","-60","-60","-60"
"122","-62","-62","-62"
"123","-61","-61","-61"
"124","-63","-63","-63"
"125","-61","-61","-61"
"126","-61","-61","-61"
"127","-62","-62","-62"
"128","-61","-61","-61"
"129","-62","-62","-62"
"130","-61","-61","-61"
"131","-61","-61","-61"
"132","-61","-61","-61"
"133","-63","-63","-63"
"134","-62","-62","-62"
"135","-62","-62","-62"
"136","-61","-61","-61"
"137","-63","-63","-63"
"138","-62","-62","-62"
"139","-62","-62","-62"
"140","-62","-62","-62"
"141","-62","-62","-62"
"142","-62","-62","-62"
"143","-62","-62","-62"
"144","-59","-59","-59"
"145","-61","-61","-61"
"146","-62","-62","-62"
"147","-62","-62","-62"
"148","-62","-62","-62"
"149","-61","-61","-61"
"150","-61","-61","-61"
"151","-62","-62","-62"
"152","-61","-61","-61"
"153","-62","-62","-62"
"154","-61","-61","-61"
"155","-61","-61","-61"
"156","-61","-61","-61"
"157","-63","-63","-63"
"158","-60","-60","-60"
"159","-61","-61","-61"
"160","-61","-61","-61"
"161","-59","-59","-59"
"162","-61","-61","-61"
"163","-60","-60","-60"
"164","-60","-60","-60"
"165","-61","-61","-61"
"166","-63","-63","-63"
"167","-62","-62","-62"
"168","-61","-61","-61"
"169","-60","-60","-60"
"170","-61","-61","-61"
"171","-60","-60","-60"
"172","-60","-60","-60"
"173","-60","-60","-60"
"174","-60","-60","-60"
"175","-63","-63","-63"
"176","-60","-60","-60"
"177","-60","-60","-60"
"178","-60","-60","-60"
"179","-63","-63","-63"
"180","-62","-62","-62"
"181","-60","-60","-60"
"182","-60","-60","-60"
"183","-61","-61","-61"
"184","-63","-63","-63"
"185","-61","-61","-61"
"186","-61","-61","-61"
"187","-60","-60","-60"
"188","-62","-62","-62"
"189","-61","-61","-61"
"190","-61","-61","-61"
"191","-61","-61","-61"
"192","-61","-61","-61"
"193","-61","-61","-61"
"194","-61","-61","-61"
"195","-57","-57","-57"
"196","-60","-60","-60"
"197","-61","-61","-61"
"198","-62","-62","-62"
"199","-60","-60","-60"
"200","-61","-61","-61"
"201","-61","-61","-61"
"202","-60","-60","-60"
"203","-63","-63","-63"
"204","-60","-60","-60"
"205","-60","-60","-60"
"206","-60","-60","-60"
"207","-65","-65","-65"
"208","-61","-61","-61"
"209","-60","-60","-60"
"210","-60","-60","-60"
"211","-60","-60","-60"
"212","-62","-62","-62"
"213","-62","-62","-62"
"214","-61","-61","-61"
"215","-61","-61","-61"
"216","-61","-61","-61"
"217","-61","-61","-61"
"218","-60","-60","-60"
"219","-60","-60","-60"
"220","-60","-60","-60"
"221","-59","-59","-59"
"222","-60","-60","-60"
"223","-61","-61","-61"
