"Step","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MIN","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MAX"
"0","-68","-68","-68"
"1","-77","-77","-77"
"2","-88","-88","-88"
"3","-73","-73","-73"
"4","-72","-72","-72"
"5","-80","-80","-80"
"6","-71","-71","-71"
"7","-76","-76","-76"
"8","-65","-65","-65"
"9","-74","-74","-74"
"10","-77","-77","-77"
"11","-71","-71","-71"
"12","-72","-72","-72"
"13","-64","-64","-64"
"14","-73","-73","-73"
"15","-63","-63","-63"
"16","-64","-64","-64"
"17","-65","-65","-65"
"18","-72","-72","-72"
"19","-75","-75","-75"
"20","-70","-70","-70"
"21","-92","-92","-92"
"22","-72","-72","-72"
"23","-65","-65","-65"
"24","-65","-65","-65"
"25","-67","-67","-67"
"26","-75","-75","-75"
"27","-65","-65","-65"
"28","-72","-72","-72"
"29","-64","-64","-64"
"30","-72","-72","-72"
"31","-73","-73","-73"
"32","-73","-73","-73"
"33","-72","-72","-72"
"34","-62","-62","-62"
"35","-65","-65","-65"
"36","-84","-84","-84"
"37","-71","-71","-71"
"38","-64","-64","-64"
"39","-65","-65","-65"
"40","-70","-70","-70"
"41","-72","-72","-72"
"42","-71","-71","-71"
"43","-73","-73","-73"
"44","-75","-75","-75"
"45","-72","-72","-72"
"46","-64","-64","-64"
"47","-66","-66","-66"
"48","-64","-64","-64"
"49","-70","-70","-70"
"50","-62","-62","-62"
"51","-70","-70","-70"
"52","-65","-65","-65"
"53","-77","-77","-77"
"54","-74","-74","-74"
"55","-65","-65","-65"
"56","-64","-64","-64"
"57","-73","-73","-73"
"58","-65","-65","-65"
"59","-65","-65","-65"
"60","-65","-65","-65"
"61","-65","-65","-65"
"62","-66","-66","-66"
"63","-75","-75","-75"
"64","-71","-71","-71"
"65","-65","-65","-65"
"66","-65","-65","-65"
"67","-62","-62","-62"
"68","-66","-66","-66"
"69","-65","-65","-65"
"70","-64","-64","-64"
"71","-66","-66","-66"
"72","-65","-65","-65"
"73","-64","-64","-64"
"74","-72","-72","-72"
"75","-64","-64","-64"
"76","-72","-72","-72"
"77","-71","-71","-71"
"78","-73","-73","-73"
"79","-65","-65","-65"
"80","-64","-64","-64"
"81","-63","-63","-63"
"82","-64","-64","-64"
"83","-65","-65","-65"
"84","-64","-64","-64"
"85","-63","-63","-63"
"86","-65","-65","-65"
"87","-72","-72","-72"
"88","-72","-72","-72"
"89","-66","-66","-66"
"90","-64","-64","-64"
"91","-63","-63","-63"
"92","-66","-66","-66"
"93","-64","-64","-64"
"94","-66","-66","-66"
"95","-65","-65","-65"
"96","-65","-65","-65"
"97","-65","-65","-65"
"98","-63","-63","-63"
"99","-65","-65","-65"
"100","-63","-63","-63"
"101","-63","-63","-63"
"102","-64","-64","-64"
"103","-63","-63","-63"
"104","-64","-64","-64"
"105","-64","-64","-64"
"106","-66","-66","-66"
"107","-63","-63","-63"
"108","-64","-64","-64"
"109","-63","-63","-63"
"110","-64","-64","-64"
"111","-64","-64","-64"
"112","-64","-64","-64"
"113","-64","-64","-64"
"114","-65","-65","-65"
"115","-61","-61","-61"
"116","-64","-64","-64"
"117","-63","-63","-63"
"118","-64","-64","-64"
"119","-64","-64","-64"
"120","-63","-63","-63"
"121","-64","-64","-64"
"122","-63","-63","-63"
"123","-62","-62","-62"
"124","-64","-64","-64"
"125","-64","-64","-64"
"126","-64","-64","-64"
"127","-64","-64","-64"
"128","-64","-64","-64"
"129","-57","-57","-57"
"130","-64","-64","-64"
"131","-63","-63","-63"
"132","-61","-61","-61"
"133","-63","-63","-63"
"134","-64","-64","-64"
"135","-64","-64","-64"
"136","-64","-64","-64"
"137","-57","-57","-57"
"138","-63","-63","-63"
"139","-63","-63","-63"
"140","-62","-62","-62"
"141","-63","-63","-63"
"142","-64","-64","-64"
"143","-62","-62","-62"
"144","-63","-63","-63"
"145","-64","-64","-64"
"146","-63","-63","-63"
"147","-64","-64","-64"
"148","-64","-64","-64"
"149","-63","-63","-63"
"150","-63","-63","-63"
"151","-63","-63","-63"
"152","-62","-62","-62"
"153","-64","-64","-64"
"154","-63","-63","-63"
"155","-64","-64","-64"
"156","-64","-64","-64"
"157","-63","-63","-63"
"158","-63","-63","-63"
"159","-63","-63","-63"
"160","-63","-63","-63"
"161","-63","-63","-63"
"162","-63","-63","-63"
"163","-63","-63","-63"
"164","-63","-63","-63"
"165","-63","-63","-63"
"166","-62","-62","-62"
"167","-63","-63","-63"
"168","-63","-63","-63"
"169","-64","-64","-64"
"170","-63","-63","-63"
"171","-64","-64","-64"
"172","-64","-64","-64"
"173","-63","-63","-63"
"174","-63","-63","-63"
"175","-63","-63","-63"
"176","-63","-63","-63"
"177","-64","-64","-64"
"178","-63","-63","-63"
"179","-63","-63","-63"
"180","-64","-64","-64"
"181","-63","-63","-63"
"182","-64","-64","-64"
"183","-64","-64","-64"
"184","-64","-64","-64"
"185","-64","-64","-64"
"186","-64","-64","-64"
"187","-63","-63","-63"
"188","-64","-64","-64"
"189","-63","-63","-63"
"190","-63","-63","-63"
"191","-63","-63","-63"
"192","-64","-64","-64"
"193","-63","-63","-63"
"194","-63","-63","-63"
"195","-64","-64","-64"
"196","-64","-64","-64"
"197","-64","-64","-64"
"198","-64","-64","-64"
"199","-63","-63","-63"
"200","-64","-64","-64"
"201","-63","-63","-63"
"202","-63","-63","-63"
"203","-64","-64","-64"
"204","-63","-63","-63"
"205","-64","-64","-64"
"206","-64","-64","-64"
"207","-64","-64","-64"
"208","-64","-64","-64"
"209","-63","-63","-63"
"210","-65","-65","-65"
"211","-63","-63","-63"
"212","-63","-63","-63"
"213","-63","-63","-63"
"214","-64","-64","-64"
"215","-63","-63","-63"
