"Step","brax_ppo/num_timesteps_800000 - current_best_fitness","brax_ppo/num_timesteps_800000 - current_best_fitness__MIN","brax_ppo/num_timesteps_800000 - current_best_fitness__MAX"
"0","-200","-200","-200"
"1","-200","-200","-200"
"2","-200","-200","-200"
"3","-198.828125","-198.828125","-198.828125"
"4","-191.703125","-191.703125","-191.703125"
"5","-171.8046875","-171.8046875","-171.8046875"
"6","-146.875","-146.875","-146.875"
"7","-131.890625","-131.890625","-131.890625"
"8","-120.71875","-120.71875","-120.71875"
"9","-108.3515625","-108.3515625","-108.3515625"
"10","-101.3984375","-101.3984375","-101.3984375"
"11","-92.5546875","-92.5546875","-92.5546875"
"12","-93.5078125","-93.5078125","-93.5078125"
"13","-89.015625","-89.015625","-89.015625"
"14","-86.6796875","-86.6796875","-86.6796875"
"15","-85.1015625","-85.1015625","-85.1015625"
"16","-81.7578125","-81.7578125","-81.7578125"
"17","-79.0859375","-79.0859375","-79.0859375"
"18","-83.9375","-83.9375","-83.9375"
"19","-84.8671875","-84.8671875","-84.8671875"
"20","-83.3984375","-83.3984375","-83.3984375"
"21","-79.9296875","-79.9296875","-79.9296875"
"22","-82.3671875","-82.3671875","-82.3671875"
"23","-79.4921875","-79.4921875","-79.4921875"
"24","-85.2578125","-85.2578125","-85.2578125"
"25","-80.28125","-80.28125","-80.28125"
"26","-83.140625","-83.140625","-83.140625"
"27","-82.9453125","-82.9453125","-82.9453125"
"28","-84.3359375","-84.3359375","-84.3359375"
"29","-83.953125","-83.953125","-83.953125"
"30","-84.15625","-84.15625","-84.15625"
"31","-83.53125","-83.53125","-83.53125"
"32","-85.6796875","-85.6796875","-85.6796875"
"33","-80.125","-80.125","-80.125"
"34","-81.0390625","-81.0390625","-81.0390625"
"35","-80.9375","-80.9375","-80.9375"
"36","-84.1796875","-84.1796875","-84.1796875"
"37","-84.75","-84.75","-84.75"
"38","-82.609375","-82.609375","-82.609375"
"39","-82.3515625","-82.3515625","-82.3515625"
"40","-82.6640625","-82.6640625","-82.6640625"
"41","-84.015625","-84.015625","-84.015625"
"42","-84.109375","-84.109375","-84.109375"
"43","-87.2578125","-87.2578125","-87.2578125"
"44","-79.734375","-79.734375","-79.734375"
"45","-85.25","-85.25","-85.25"
"46","-84.1796875","-84.1796875","-84.1796875"
"47","-80.34375","-80.34375","-80.34375"
"48","-81.421875","-81.421875","-81.421875"
"49","-85.0390625","-85.0390625","-85.0390625"
"50","-86.0546875","-86.0546875","-86.0546875"
"51","-83.0234375","-83.0234375","-83.0234375"
"52","-82.2109375","-82.2109375","-82.2109375"
"53","-81.234375","-81.234375","-81.234375"
"54","-81.203125","-81.203125","-81.203125"
"55","-85.25","-85.25","-85.25"
"56","-81.7734375","-81.7734375","-81.7734375"
"57","-85.640625","-85.640625","-85.640625"
"58","-82.3671875","-82.3671875","-82.3671875"
"59","-83.3828125","-83.3828125","-83.3828125"
"60","-83.5078125","-83.5078125","-83.5078125"
"61","-85.25","-85.25","-85.25"
"62","-83.1796875","-83.1796875","-83.1796875"
"63","-81.234375","-81.234375","-81.234375"
"64","-82.4609375","-82.4609375","-82.4609375"
"65","-80.96875","-80.96875","-80.96875"
"66","-82.390625","-82.390625","-82.390625"
"67","-79.96875","-79.96875","-79.96875"
"68","-80.390625","-80.390625","-80.390625"
"69","-84.234375","-84.234375","-84.234375"
"70","-81.8203125","-81.8203125","-81.8203125"
"71","-79.71875","-79.71875","-79.71875"
"72","-83.09375","-83.09375","-83.09375"
"73","-83.171875","-83.171875","-83.171875"
"74","-81.421875","-81.421875","-81.421875"
"75","-78.7734375","-78.7734375","-78.7734375"
"76","-81.3046875","-81.3046875","-81.3046875"
"77","-79.6328125","-79.6328125","-79.6328125"
"78","-82.609375","-82.609375","-82.609375"
"79","-78.828125","-78.828125","-78.828125"
"80","-80.109375","-80.109375","-80.109375"
"81","-79.78125","-79.78125","-79.78125"
"82","-79.2421875","-79.2421875","-79.2421875"
"83","-81.1875","-81.1875","-81.1875"
"84","-79.171875","-79.171875","-79.171875"
"85","-80.8515625","-80.8515625","-80.8515625"
"86","-80.421875","-80.421875","-80.421875"
"87","-79.9375","-79.9375","-79.9375"
"88","-80.2265625","-80.2265625","-80.2265625"
"89","-80.9375","-80.9375","-80.9375"
"90","-78.3515625","-78.3515625","-78.3515625"
"91","-80.6171875","-80.6171875","-80.6171875"
"92","-80.390625","-80.390625","-80.390625"
"93","-80.796875","-80.796875","-80.796875"
"94","-79.078125","-79.078125","-79.078125"
"95","-82.2734375","-82.2734375","-82.2734375"
"96","-79.375","-79.375","-79.375"
"97","-79.8984375","-79.8984375","-79.8984375"
"98","-81.9375","-81.9375","-81.9375"
"99","-81.6796875","-81.6796875","-81.6796875"
"100","-79.4921875","-79.4921875","-79.4921875"
"101","-78.8828125","-78.8828125","-78.8828125"
"102","-84.0234375","-84.0234375","-84.0234375"
"103","-78.6796875","-78.6796875","-78.6796875"
"104","-80.9765625","-80.9765625","-80.9765625"
"105","-83.140625","-83.140625","-83.140625"
"106","-79.3671875","-79.3671875","-79.3671875"
"107","-80.25","-80.25","-80.25"
"108","-80.1171875","-80.1171875","-80.1171875"
"109","-78.8046875","-78.8046875","-78.8046875"
"110","-78.8828125","-78.8828125","-78.8828125"
"111","-80.125","-80.125","-80.125"
"112","-79.5390625","-79.5390625","-79.5390625"
"113","-80.5546875","-80.5546875","-80.5546875"
"114","-78.8515625","-78.8515625","-78.8515625"
"115","-80.109375","-80.109375","-80.109375"
"116","-80.859375","-80.859375","-80.859375"
"117","-80.0625","-80.0625","-80.0625"
"118","-81.1015625","-81.1015625","-81.1015625"
"119","-81.6015625","-81.6015625","-81.6015625"
"120","-82.3125","-82.3125","-82.3125"
"121","-80.015625","-80.015625","-80.015625"
"122","-78.703125","-78.703125","-78.703125"
"123","-80.0078125","-80.0078125","-80.0078125"
"124","-80.3203125","-80.3203125","-80.3203125"
"125","-79.7578125","-79.7578125","-79.7578125"
"126","-80.2890625","-80.2890625","-80.2890625"
"127","-81.6640625","-81.6640625","-81.6640625"
"128","-78.875","-78.875","-78.875"
"129","-80.1953125","-80.1953125","-80.1953125"
"130","-79.2109375","-79.2109375","-79.2109375"
"131","-80.390625","-80.390625","-80.390625"
"132","-81.453125","-81.453125","-81.453125"
"133","-80.1953125","-80.1953125","-80.1953125"
"134","-79.5","-79.5","-79.5"
"135","-80.6796875","-80.6796875","-80.6796875"
"136","-82.40625","-82.40625","-82.40625"
"137","-84.3359375","-84.3359375","-84.3359375"
"138","-83.3671875","-83.3671875","-83.3671875"
"139","-80.3671875","-80.3671875","-80.3671875"
"140","-81.6953125","-81.6953125","-81.6953125"
"141","-83.078125","-83.078125","-83.078125"
"142","-82.3359375","-82.3359375","-82.3359375"
"143","-80.3515625","-80.3515625","-80.3515625"
"144","-79.1796875","-79.1796875","-79.1796875"
