"Step","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"0","-200","-200","-200"
"1","-200","-200","-200"
"2","-200","-200","-200"
"3","-200","-200","-200"
"4","-200","-200","-200"
"5","-177","-177","-177"
"6","-200","-200","-200"
"7","-200","-200","-200"
"8","-200","-200","-200"
"9","-200","-200","-200"
"10","-200","-200","-200"
"11","-200","-200","-200"
"12","-200","-200","-200"
"13","-194","-194","-194"
"14","-200","-200","-200"
"15","-200","-200","-200"
"16","-163","-163","-163"
"17","-168","-168","-168"
"18","-200","-200","-200"
"19","-200","-200","-200"
"20","-194","-194","-194"
"21","-200","-200","-200"
"22","-200","-200","-200"
"23","-200","-200","-200"
"24","-200","-200","-200"
"25","-200","-200","-200"
"26","-200","-200","-200"
"27","-200","-200","-200"
"28","-200","-200","-200"
"29","-200","-200","-200"
"30","-179","-179","-179"
"31","-200","-200","-200"
"32","-200","-200","-200"
"33","-200","-200","-200"
"34","-200","-200","-200"
"35","-200","-200","-200"
"36","-184","-184","-184"
"37","-170","-170","-170"
"38","-200","-200","-200"
"39","-200","-200","-200"
"40","-119","-119","-119"
"41","-200","-200","-200"
"42","-200","-200","-200"
"43","-200","-200","-200"
"44","-158","-158","-158"
"45","-150","-150","-150"
"46","-167","-167","-167"
"47","-164","-164","-164"
"48","-174","-174","-174"
"49","-187","-187","-187"
"50","-170","-170","-170"
"51","-164","-164","-164"
"52","-117","-117","-117"
"53","-126","-126","-126"
"54","-200","-200","-200"
"55","-86","-86","-86"
"56","-104","-104","-104"
"57","-129","-129","-129"
"58","-147","-147","-147"
"59","-139","-139","-139"
"60","-129","-129","-129"
"61","-193","-193","-193"
"62","-117","-117","-117"
"63","-144","-144","-144"
"64","-124","-124","-124"
"65","-139","-139","-139"
"66","-130","-130","-130"
"67","-108","-108","-108"
"68","-112","-112","-112"
"69","-156","-156","-156"
"70","-89","-89","-89"
"71","-108","-108","-108"
"72","-84","-84","-84"
"73","-130","-130","-130"
"74","-120","-120","-120"
"75","-115","-115","-115"
"76","-124","-124","-124"
"77","-108","-108","-108"
"78","-86","-86","-86"
"79","-113","-113","-113"
"80","-121","-121","-121"
"81","-109","-109","-109"
"82","-84","-84","-84"
"83","-112","-112","-112"
"84","-89","-89","-89"
"85","-90","-90","-90"
"86","-89","-89","-89"
"87","-108","-108","-108"
"88","-84","-84","-84"
"89","-115","-115","-115"
"90","-84","-84","-84"
"91","-85","-85","-85"
"92","-107","-107","-107"
"93","-107","-107","-107"
"94","-105","-105","-105"
"95","-103","-103","-103"
"96","-111","-111","-111"
"97","-104","-104","-104"
"98","-104","-104","-104"
"99","-94","-94","-94"
"100","-106","-106","-106"
"101","-104","-104","-104"
"102","-106","-106","-106"
"103","-88","-88","-88"
"104","-115","-115","-115"
"105","-113","-113","-113"
"106","-86","-86","-86"
"107","-105","-105","-105"
"108","-111","-111","-111"
"109","-107","-107","-107"
"110","-89","-89","-89"
"111","-106","-106","-106"
"112","-106","-106","-106"
"113","-106","-106","-106"
"114","-106","-106","-106"
"115","-113","-113","-113"
"116","-101","-101","-101"
"117","-109","-109","-109"
"118","-107","-107","-107"
"119","-120","-120","-120"
"120","-106","-106","-106"
"121","-95","-95","-95"
"122","-105","-105","-105"
"123","-109","-109","-109"
"124","-109","-109","-109"
"125","-113","-113","-113"
"126","-107","-107","-107"
"127","-84","-84","-84"
"128","-88","-88","-88"
"129","-106","-106","-106"
"130","-110","-110","-110"
"131","-105","-105","-105"
"132","-85","-85","-85"
"133","-106","-106","-106"
"134","-107","-107","-107"
"135","-106","-106","-106"
"136","-106","-106","-106"
"137","-109","-109","-109"
"138","-106","-106","-106"
"139","-108","-108","-108"
"140","-106","-106","-106"
"141","-85","-85","-85"
"142","-107","-107","-107"
"143","-107","-107","-107"
"144","-106","-106","-106"
"145","-89","-89","-89"
"146","-107","-107","-107"
"147","-96","-96","-96"
"148","-103","-103","-103"
"149","-111","-111","-111"
"150","-109","-109","-109"
"151","-90","-90","-90"
"152","-108","-108","-108"
"153","-86","-86","-86"
"154","-105","-105","-105"
"155","-109","-109","-109"
"156","-94","-94","-94"
"157","-96","-96","-96"
"158","-105","-105","-105"
"159","-106","-106","-106"
"160","-108","-108","-108"
"161","-106","-106","-106"
"162","-88","-88","-88"
"163","-95","-95","-95"
"164","-107","-107","-107"
"165","-96","-96","-96"
"166","-89","-89","-89"
"167","-84","-84","-84"
"168","-86","-86","-86"
"169","-89","-89","-89"
"170","-110","-110","-110"
"171","-106","-106","-106"
"172","-101","-101","-101"
"173","-102","-102","-102"
"174","-106","-106","-106"
"175","-86","-86","-86"
"176","-103","-103","-103"
"177","-106","-106","-106"
"178","-105","-105","-105"
"179","-87","-87","-87"
"180","-112","-112","-112"
"181","-104","-104","-104"
"182","-89","-89","-89"
"183","-110","-110","-110"
"184","-114","-114","-114"
"185","-103","-103","-103"
"186","-109","-109","-109"
"187","-109","-109","-109"
"188","-109","-109","-109"
"189","-111","-111","-111"
"190","-108","-108","-108"
"191","-104","-104","-104"
"192","-106","-106","-106"
"193","-91","-91","-91"
"194","-110","-110","-110"
"195","-90","-90","-90"
"196","-110","-110","-110"
"197","-105","-105","-105"
"198","-90","-90","-90"
"199","-99","-99","-99"
"200","-108","-108","-108"
"201","-106","-106","-106"
"202","-108","-108","-108"
"203","-107","-107","-107"
"204","-106","-106","-106"
"205","-103","-103","-103"
"206","-109","-109","-109"
"207","-110","-110","-110"
"208","-104","-104","-104"
"209","-89","-89","-89"
"210","-107","-107","-107"
"211","-83","-83","-83"
"212","-105","-105","-105"
"213","-105","-105","-105"
"214","-105","-105","-105"
"215","-109","-109","-109"
"216","-106","-106","-106"
"217","-108","-108","-108"
"218","-105","-105","-105"
"219","-92","-92","-92"
"220","-106","-106","-106"
"221","-87","-87","-87"
"222","-103","-103","-103"
"223","-87","-87","-87"
"224","-107","-107","-107"
"225","-105","-105","-105"
"226","-86","-86","-86"
"227","-105","-105","-105"
"228","-103","-103","-103"
"229","-96","-96","-96"
"230","-88","-88","-88"
"231","-103","-103","-103"
"232","-107","-107","-107"
"233","-110","-110","-110"
"234","-105","-105","-105"
"235","-107","-107","-107"
"236","-104","-104","-104"
"237","-108","-108","-108"
"238","-105","-105","-105"
"239","-106","-106","-106"
"240","-100","-100","-100"
"241","-107","-107","-107"
"242","-83","-83","-83"
"243","-87","-87","-87"
"244","-108","-108","-108"
"245","-105","-105","-105"
"246","-94","-94","-94"
"247","-106","-106","-106"
