"Step","brax_ppo/num_timesteps_800000000 - current_best_fitness","brax_ppo/num_timesteps_800000000 - current_best_fitness__MIN","brax_ppo/num_timesteps_800000000 - current_best_fitness__MAX"
"0","-200","-200","-200"
"1","-200","-200","-200"
"2","-156.28125","-156.28125","-156.28125"
"3","-131.84375","-131.84375","-131.84375"
"4","-116.6640625","-116.6640625","-116.6640625"
"5","-109.515625","-109.515625","-109.515625"
"6","-107.9375","-107.9375","-107.9375"
"7","-120.2421875","-120.2421875","-120.2421875"
"8","-120.671875","-120.671875","-120.671875"
"9","-118.0546875","-118.0546875","-118.0546875"
"10","-128.8671875","-128.8671875","-128.8671875"
"11","-127.65625","-127.65625","-127.65625"
"12","-128.1875","-128.1875","-128.1875"
"13","-124.8203125","-124.8203125","-124.8203125"
"14","-125.421875","-125.421875","-125.421875"
"15","-131.828125","-131.828125","-131.828125"
"16","-129.3984375","-129.3984375","-129.3984375"
"17","-126.40625","-126.40625","-126.40625"
"18","-128.90625","-128.90625","-128.90625"
"19","-129.7265625","-129.7265625","-129.7265625"
"20","-128.15625","-128.15625","-128.15625"
"21","-134.375","-134.375","-134.375"
"22","-129.0078125","-129.0078125","-129.0078125"
"23","-126.859375","-126.859375","-126.859375"
"24","-128.34375","-128.34375","-128.34375"
"25","-124.5859375","-124.5859375","-124.5859375"
"26","-132.921875","-132.921875","-132.921875"
"27","-130.125","-130.125","-130.125"
"28","-126.609375","-126.609375","-126.609375"
"29","-135.046875","-135.046875","-135.046875"
"30","-130.203125","-130.203125","-130.203125"
"31","-119.046875","-119.046875","-119.046875"
"32","-117.2421875","-117.2421875","-117.2421875"
"33","-110.5703125","-110.5703125","-110.5703125"
"34","-111.1875","-111.1875","-111.1875"
"35","-110.7890625","-110.7890625","-110.7890625"
"36","-109.5234375","-109.5234375","-109.5234375"
"37","-110.1484375","-110.1484375","-110.1484375"
"38","-109.9609375","-109.9609375","-109.9609375"
"39","-106.9921875","-106.9921875","-106.9921875"
"40","-109.703125","-109.703125","-109.703125"
"41","-110.34375","-110.34375","-110.34375"
"42","-106.8125","-106.8125","-106.8125"
"43","-109.3671875","-109.3671875","-109.3671875"
"44","-106.65625","-106.65625","-106.65625"
"45","-103.1484375","-103.1484375","-103.1484375"
"46","-104.265625","-104.265625","-104.265625"
"47","-105.890625","-105.890625","-105.890625"
"48","-106.5","-106.5","-106.5"
"49","-101.8125","-101.8125","-101.8125"
"50","-102.5546875","-102.5546875","-102.5546875"
"51","-101.78125","-101.78125","-101.78125"
"52","-101.953125","-101.953125","-101.953125"
"53","-103.0859375","-103.0859375","-103.0859375"
"54","-101.2578125","-101.2578125","-101.2578125"
"55","-103.265625","-103.265625","-103.265625"
"56","-101.421875","-101.421875","-101.421875"
"57","-101.796875","-101.796875","-101.796875"
"58","-101.75","-101.75","-101.75"
"59","-99.2578125","-99.2578125","-99.2578125"
"60","-99.3359375","-99.3359375","-99.3359375"
"61","-98.1328125","-98.1328125","-98.1328125"
"62","-98.546875","-98.546875","-98.546875"
"63","-100.09375","-100.09375","-100.09375"
"64","-99.4296875","-99.4296875","-99.4296875"
"65","-98.1796875","-98.1796875","-98.1796875"
"66","-98.546875","-98.546875","-98.546875"
"67","-98.328125","-98.328125","-98.328125"
"68","-98.359375","-98.359375","-98.359375"
"69","-98.1953125","-98.1953125","-98.1953125"
"70","-98.109375","-98.109375","-98.109375"
"71","-98.625","-98.625","-98.625"
"72","-97.6015625","-97.6015625","-97.6015625"
"73","-97.7734375","-97.7734375","-97.7734375"
"74","-98.1875","-98.1875","-98.1875"
"75","-98.8046875","-98.8046875","-98.8046875"
"76","-99.3828125","-99.3828125","-99.3828125"
"77","-99.140625","-99.140625","-99.140625"
"78","-97.828125","-97.828125","-97.828125"
"79","-96.3203125","-96.3203125","-96.3203125"
"80","-98.140625","-98.140625","-98.140625"
"81","-98.515625","-98.515625","-98.515625"
"82","-97.96875","-97.96875","-97.96875"
"83","-97.0078125","-97.0078125","-97.0078125"
"84","-98.296875","-98.296875","-98.296875"
"85","-97.9375","-97.9375","-97.9375"
"86","-97.7890625","-97.7890625","-97.7890625"
"87","-96.890625","-96.890625","-96.890625"
"88","-97.6953125","-97.6953125","-97.6953125"
"89","-98.84375","-98.84375","-98.84375"
"90","-99.28125","-99.28125","-99.28125"
"91","-96.078125","-96.078125","-96.078125"
"92","-97.3984375","-97.3984375","-97.3984375"
"93","-97.6640625","-97.6640625","-97.6640625"
"94","-98.765625","-98.765625","-98.765625"
"95","-99.4921875","-99.4921875","-99.4921875"
"96","-97.34375","-97.34375","-97.34375"
"97","-98.8359375","-98.8359375","-98.8359375"
"98","-98.8125","-98.8125","-98.8125"
"99","-97.9296875","-97.9296875","-97.9296875"
"100","-96.9921875","-96.9921875","-96.9921875"
"101","-98.46875","-98.46875","-98.46875"
"102","-97.8671875","-97.8671875","-97.8671875"
"103","-96.921875","-96.921875","-96.921875"
"104","-98.3984375","-98.3984375","-98.3984375"
"105","-99.265625","-99.265625","-99.265625"
"106","-98.2421875","-98.2421875","-98.2421875"
"107","-98.1171875","-98.1171875","-98.1171875"
"108","-98.5","-98.5","-98.5"
"109","-97.7890625","-97.7890625","-97.7890625"
"110","-97.5625","-97.5625","-97.5625"
"111","-97.4609375","-97.4609375","-97.4609375"
"112","-98.296875","-98.296875","-98.296875"
"113","-98.0390625","-98.0390625","-98.0390625"
"114","-98.71875","-98.71875","-98.71875"
"115","-97.78125","-97.78125","-97.78125"
"116","-98.046875","-98.046875","-98.046875"
"117","-99.125","-99.125","-99.125"
"118","-96.796875","-96.796875","-96.796875"
"119","-98.1328125","-98.1328125","-98.1328125"
"120","-98.1328125","-98.1328125","-98.1328125"
"121","-97.6328125","-97.6328125","-97.6328125"
"122","-98.0078125","-98.0078125","-98.0078125"
"123","-97.6953125","-97.6953125","-97.6953125"
"124","-97.515625","-97.515625","-97.515625"
"125","-97.8046875","-97.8046875","-97.8046875"
"126","-100.125","-100.125","-100.125"
"127","-98.7109375","-98.7109375","-98.7109375"
"128","-98.2734375","-98.2734375","-98.2734375"
"129","-98.25","-98.25","-98.25"
"130","-97.6640625","-97.6640625","-97.6640625"
"131","-99.4609375","-99.4609375","-99.4609375"
"132","-98.0390625","-98.0390625","-98.0390625"
"133","-98.21875","-98.21875","-98.21875"
"134","-98.484375","-98.484375","-98.484375"
"135","-96.6328125","-96.6328125","-96.6328125"
"136","-97.5859375","-97.5859375","-97.5859375"
"137","-98.40625","-98.40625","-98.40625"
"138","-98.6875","-98.6875","-98.6875"
"139","-97.6171875","-97.6171875","-97.6171875"
"140","-98.546875","-98.546875","-98.546875"
"141","-98.0234375","-98.0234375","-98.0234375"
"142","-97.1484375","-97.1484375","-97.1484375"
"143","-98.40625","-98.40625","-98.40625"
"144","-97.109375","-97.109375","-97.109375"
"145","-97.265625","-97.265625","-97.265625"
