"Step","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MIN","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MAX"
"0","-77","-77","-77"
"1","-64","-64","-64"
"2","-63","-63","-63"
"3","-63","-63","-63"
"4","-76","-76","-76"
"5","-65","-65","-65"
"6","-67","-67","-67"
"7","-67","-67","-67"
"8","-63","-63","-63"
"9","-64","-64","-64"
"10","-63","-63","-63"
"11","-62","-62","-62"
"12","-63","-63","-63"
"13","-63","-63","-63"
"14","-63","-63","-63"
"15","-64","-64","-64"
"16","-64","-64","-64"
"17","-63","-63","-63"
"18","-64","-64","-64"
"19","-65","-65","-65"
"20","-64","-64","-64"
"21","-64","-64","-64"
"22","-63","-63","-63"
"23","-64","-64","-64"
"24","-64","-64","-64"
"25","-64","-64","-64"
"26","-63","-63","-63"
"27","-64","-64","-64"
"28","-65","-65","-65"
"29","-70","-70","-70"
"30","-64","-64","-64"
"31","-72","-72","-72"
"32","-64","-64","-64"
"33","-63","-63","-63"
"34","-64","-64","-64"
"35","-65","-65","-65"
"36","-64","-64","-64"
"37","-64","-64","-64"
"38","-63","-63","-63"
"39","-69","-69","-69"
"40","-64","-64","-64"
"41","-71","-71","-71"
"42","-72","-72","-72"
"43","-63","-63","-63"
"44","-63","-63","-63"
"45","-64","-64","-64"
"46","-68","-68","-68"
"47","-69","-69","-69"
"48","-64","-64","-64"
"49","-69","-69","-69"
"50","-69","-69","-69"
"51","-63","-63","-63"
"52","-63","-63","-63"
"53","-70","-70","-70"
"54","-64","-64","-64"
"55","-63","-63","-63"
"56","-64","-64","-64"
"57","-63","-63","-63"
"58","-63","-63","-63"
"59","-71","-71","-71"
"60","-63","-63","-63"
"61","-64","-64","-64"
"62","-69","-69","-69"
"63","-68","-68","-68"
"64","-64","-64","-64"
"65","-69","-69","-69"
"66","-64","-64","-64"
"67","-63","-63","-63"
"68","-68","-68","-68"
"69","-64","-64","-64"
"70","-70","-70","-70"
"71","-70","-70","-70"
"72","-69","-69","-69"
"73","-68","-68","-68"
"74","-63","-63","-63"
"75","-68","-68","-68"
"76","-69","-69","-69"
"77","-68","-68","-68"
"78","-69","-69","-69"
"79","-69","-69","-69"
"80","-63","-63","-63"
"81","-62","-62","-62"
"82","-68","-68","-68"
"83","-62","-62","-62"
"84","-68","-68","-68"
"85","-69","-69","-69"
"86","-63","-63","-63"
"87","-62","-62","-62"
"88","-69","-69","-69"
"89","-69","-69","-69"
"90","-68","-68","-68"
"91","-62","-62","-62"
"92","-63","-63","-63"
"93","-62","-62","-62"
"94","-62","-62","-62"
"95","-62","-62","-62"
"96","-68","-68","-68"
"97","-63","-63","-63"
"98","-67","-67","-67"
"99","-62","-62","-62"
"100","-61","-61","-61"
"101","-63","-63","-63"
"102","-69","-69","-69"
"103","-64","-64","-64"
"104","-63","-63","-63"
"105","-68","-68","-68"
"106","-69","-69","-69"
"107","-61","-61","-61"
"108","-62","-62","-62"
"109","-63","-63","-63"
"110","-69","-69","-69"
"111","-61","-61","-61"
"112","-69","-69","-69"
"113","-69","-69","-69"
"114","-69","-69","-69"
"115","-63","-63","-63"
"116","-69","-69","-69"
"117","-68","-68","-68"
"118","-63","-63","-63"
"119","-62","-62","-62"
"120","-68","-68","-68"
"121","-68","-68","-68"
"122","-63","-63","-63"
"123","-61","-61","-61"
"124","-68","-68","-68"
"125","-62","-62","-62"
"126","-68","-68","-68"
"127","-62","-62","-62"
"128","-69","-69","-69"
"129","-61","-61","-61"
"130","-68","-68","-68"
"131","-62","-62","-62"
"132","-69","-69","-69"
"133","-62","-62","-62"
"134","-62","-62","-62"
"135","-62","-62","-62"
"136","-69","-69","-69"
"137","-68","-68","-68"
"138","-69","-69","-69"
"139","-68","-68","-68"
"140","-63","-63","-63"
"141","-63","-63","-63"
"142","-62","-62","-62"
"143","-69","-69","-69"
"144","-63","-63","-63"
"145","-68","-68","-68"
"146","-63","-63","-63"
"147","-63","-63","-63"
"148","-68","-68","-68"
"149","-69","-69","-69"
"150","-62","-62","-62"
"151","-62","-62","-62"
"152","-61","-61","-61"
"153","-68","-68","-68"
"154","-62","-62","-62"
"155","-68","-68","-68"
"156","-62","-62","-62"
"157","-63","-63","-63"
"158","-68","-68","-68"
"159","-63","-63","-63"
"160","-62","-62","-62"
"161","-68","-68","-68"
"162","-69","-69","-69"
"163","-68","-68","-68"
"164","-69","-69","-69"
"165","-69","-69","-69"
"166","-61","-61","-61"
"167","-68","-68","-68"
"168","-68","-68","-68"
"169","-68","-68","-68"
"170","-68","-68","-68"
"171","-68","-68","-68"
"172","-68","-68","-68"
"173","-61","-61","-61"
"174","-62","-62","-62"
"175","-62","-62","-62"
"176","-61","-61","-61"
"177","-61","-61","-61"
"178","-68","-68","-68"
"179","-63","-63","-63"
"180","-68","-68","-68"
"181","-68","-68","-68"
"182","-62","-62","-62"
"183","-67","-67","-67"
"184","-62","-62","-62"
"185","-68","-68","-68"
"186","-63","-63","-63"
"187","-68","-68","-68"
"188","-68","-68","-68"
"189","-69","-69","-69"
"190","-61","-61","-61"
"191","-69","-69","-69"
"192","-69","-69","-69"
"193","-69","-69","-69"
"194","-68","-68","-68"
"195","-68","-68","-68"
"196","-69","-69","-69"
"197","-62","-62","-62"
"198","-68","-68","-68"
"199","-68","-68","-68"
