"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness__MAX"
"0","-63","-63","-63"
"1","-78","-78","-78"
"2","-63","-63","-63"
"3","-65","-65","-65"
"4","-87","-87","-87"
"5","-66","-66","-66"
"6","-64","-64","-64"
"7","-67","-67","-67"
"8","-83","-83","-83"
"9","-72","-72","-72"
"10","-87","-87","-87"
"11","-63","-63","-63"
"12","-71","-71","-71"
"13","-65","-65","-65"
"14","-64","-64","-64"
"15","-67","-67","-67"
"16","-64","-64","-64"
"17","-62","-62","-62"
"18","-65","-65","-65"
"19","-64","-64","-64"
"20","-66","-66","-66"
"21","-64","-64","-64"
"22","-64","-64","-64"
"23","-63","-63","-63"
"24","-63","-63","-63"
"25","-63","-63","-63"
"26","-64","-64","-64"
"27","-60","-60","-60"
"28","-62","-62","-62"
"29","-63","-63","-63"
"30","-63","-63","-63"
"31","-64","-64","-64"
"32","-63","-63","-63"
"33","-63","-63","-63"
"34","-64","-64","-64"
"35","-63","-63","-63"
"36","-64","-64","-64"
"37","-64","-64","-64"
"38","-63","-63","-63"
"39","-64","-64","-64"
"40","-64","-64","-64"
"41","-64","-64","-64"
"42","-64","-64","-64"
"43","-64","-64","-64"
"44","-64","-64","-64"
"45","-64","-64","-64"
"46","-64","-64","-64"
"47","-65","-65","-65"
"48","-63","-63","-63"
"49","-64","-64","-64"
"50","-64","-64","-64"
"51","-64","-64","-64"
"52","-64","-64","-64"
"53","-64","-64","-64"
"54","-64","-64","-64"
"55","-64","-64","-64"
"56","-63","-63","-63"
"57","-63","-63","-63"
"58","-65","-65","-65"
"59","-64","-64","-64"
"60","-64","-64","-64"
"61","-64","-64","-64"
"62","-64","-64","-64"
"63","-65","-65","-65"
"64","-64","-64","-64"
"65","-64","-64","-64"
"66","-64","-64","-64"
"67","-64","-64","-64"
"68","-64","-64","-64"
"69","-65","-65","-65"
"70","-64","-64","-64"
"71","-64","-64","-64"
"72","-64","-64","-64"
"73","-64","-64","-64"
"74","-65","-65","-65"
"75","-65","-65","-65"
"76","-65","-65","-65"
"77","-66","-66","-66"
"78","-64","-64","-64"
"79","-65","-65","-65"
"80","-64","-64","-64"
"81","-65","-65","-65"
"82","-64","-64","-64"
"83","-64","-64","-64"
"84","-64","-64","-64"
"85","-64","-64","-64"
"86","-64","-64","-64"
"87","-65","-65","-65"
"88","-65","-65","-65"
"89","-66","-66","-66"
"90","-64","-64","-64"
"91","-64","-64","-64"
"92","-64","-64","-64"
"93","-64","-64","-64"
"94","-64","-64","-64"
"95","-64","-64","-64"
"96","-64","-64","-64"
"97","-63","-63","-63"
"98","-65","-65","-65"
"99","-64","-64","-64"
"100","-65","-65","-65"
"101","-66","-66","-66"
"102","-65","-65","-65"
"103","-64","-64","-64"
"104","-64","-64","-64"
"105","-65","-65","-65"
"106","-64","-64","-64"
"107","-65","-65","-65"
"108","-64","-64","-64"
"109","-64","-64","-64"
"110","-65","-65","-65"
"111","-64","-64","-64"
"112","-64","-64","-64"
"113","-64","-64","-64"
"114","-63","-63","-63"
"115","-65","-65","-65"
"116","-64","-64","-64"
"117","-65","-65","-65"
"118","-65","-65","-65"
"119","-64","-64","-64"
"120","-63","-63","-63"
"121","-64","-64","-64"
"122","-65","-65","-65"
"123","-65","-65","-65"
"124","-65","-65","-65"
"125","-64","-64","-64"
"126","-66","-66","-66"
"127","-64","-64","-64"
"128","-66","-66","-66"
"129","-66","-66","-66"
"130","-63","-63","-63"
"131","-65","-65","-65"
"132","-65","-65","-65"
"133","-64","-64","-64"
"134","-65","-65","-65"
"135","-65","-65","-65"
"136","-64","-64","-64"
"137","-65","-65","-65"
"138","-65","-65","-65"
"139","-66","-66","-66"
"140","-65","-65","-65"
"141","-65","-65","-65"
"142","-66","-66","-66"
"143","-65","-65","-65"
"144","-65","-65","-65"
"145","-65","-65","-65"
"146","-66","-66","-66"
"147","-66","-66","-66"
"148","-65","-65","-65"
"149","-65","-65","-65"
"150","-64","-64","-64"
"151","-66","-66","-66"
"152","-66","-66","-66"
"153","-65","-65","-65"
"154","-64","-64","-64"
"155","-66","-66","-66"
"156","-66","-66","-66"
"157","-65","-65","-65"
"158","-66","-66","-66"
"159","-65","-65","-65"
"160","-65","-65","-65"
"161","-65","-65","-65"
"162","-65","-65","-65"
"163","-65","-65","-65"
"164","-64","-64","-64"
"165","-65","-65","-65"
"166","-64","-64","-64"
"167","-64","-64","-64"
"168","-65","-65","-65"
