"Step","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"0","-73","-73","-73"
"1","-73","-73","-73"
"2","-64","-64","-64"
"3","-70","-70","-70"
"4","-65","-65","-65"
"5","-62","-62","-62"
"6","-64","-64","-64"
"7","-64","-64","-64"
"8","-65","-65","-65"
"9","-64","-64","-64"
"10","-63","-63","-63"
"11","-63","-63","-63"
"12","-62","-62","-62"
"13","-64","-64","-64"
"14","-64","-64","-64"
"15","-63","-63","-63"
"16","-63","-63","-63"
"17","-63","-63","-63"
"18","-64","-64","-64"
"19","-62","-62","-62"
"20","-61","-61","-61"
"21","-57","-57","-57"
"22","-62","-62","-62"
"23","-64","-64","-64"
"24","-63","-63","-63"
"25","-63","-63","-63"
"26","-63","-63","-63"
"27","-63","-63","-63"
"28","-63","-63","-63"
"29","-64","-64","-64"
"30","-63","-63","-63"
"31","-62","-62","-62"
"32","-63","-63","-63"
"33","-63","-63","-63"
"34","-63","-63","-63"
"35","-64","-64","-64"
"36","-62","-62","-62"
"37","-63","-63","-63"
"38","-64","-64","-64"
"39","-62","-62","-62"
"40","-63","-63","-63"
"41","-62","-62","-62"
"42","-64","-64","-64"
"43","-63","-63","-63"
"44","-63","-63","-63"
"45","-63","-63","-63"
"46","-62","-62","-62"
"47","-62","-62","-62"
"48","-63","-63","-63"
"49","-63","-63","-63"
"50","-64","-64","-64"
"51","-64","-64","-64"
"52","-63","-63","-63"
"53","-61","-61","-61"
"54","-61","-61","-61"
"55","-62","-62","-62"
"56","-63","-63","-63"
"57","-62","-62","-62"
"58","-64","-64","-64"
"59","-62","-62","-62"
"60","-62","-62","-62"
"61","-63","-63","-63"
"62","-63","-63","-63"
"63","-63","-63","-63"
"64","-63","-63","-63"
"65","-62","-62","-62"
"66","-62","-62","-62"
"67","-62","-62","-62"
"68","-62","-62","-62"
"69","-62","-62","-62"
"70","-61","-61","-61"
"71","-63","-63","-63"
"72","-62","-62","-62"
"73","-63","-63","-63"
"74","-62","-62","-62"
"75","-60","-60","-60"
"76","-62","-62","-62"
"77","-61","-61","-61"
"78","-63","-63","-63"
"79","-63","-63","-63"
"80","-63","-63","-63"
"81","-63","-63","-63"
"82","-62","-62","-62"
"83","-64","-64","-64"
"84","-63","-63","-63"
"85","-62","-62","-62"
"86","-61","-61","-61"
"87","-61","-61","-61"
"88","-63","-63","-63"
"89","-63","-63","-63"
"90","-62","-62","-62"
"91","-61","-61","-61"
"92","-60","-60","-60"
"93","-61","-61","-61"
"94","-63","-63","-63"
"95","-62","-62","-62"
"96","-62","-62","-62"
"97","-61","-61","-61"
"98","-62","-62","-62"
"99","-61","-61","-61"
"100","-62","-62","-62"
"101","-61","-61","-61"
"102","-59","-59","-59"
"103","-63","-63","-63"
"104","-63","-63","-63"
"105","-62","-62","-62"
"106","-62","-62","-62"
"107","-62","-62","-62"
"108","-62","-62","-62"
"109","-63","-63","-63"
"110","-61","-61","-61"
"111","-62","-62","-62"
"112","-63","-63","-63"
"113","-61","-61","-61"
"114","-62","-62","-62"
"115","-62","-62","-62"
"116","-62","-62","-62"
"117","-62","-62","-62"
"118","-61","-61","-61"
"119","-61","-61","-61"
"120","-62","-62","-62"
"121","-62","-62","-62"
"122","-62","-62","-62"
"123","-62","-62","-62"
"124","-58","-58","-58"
"125","-61","-61","-61"
"126","-62","-62","-62"
"127","-62","-62","-62"
"128","-60","-60","-60"
"129","-64","-64","-64"
"130","-60","-60","-60"
"131","-60","-60","-60"
"132","-61","-61","-61"
"133","-61","-61","-61"
"134","-61","-61","-61"
"135","-62","-62","-62"
"136","-61","-61","-61"
"137","-63","-63","-63"
"138","-61","-61","-61"
