"Step","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MIN","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MAX"
"0","-72","-72","-72"
"1","-72","-72","-72"
"2","-64","-64","-64"
"3","-64","-64","-64"
"4","-72","-72","-72"
"5","-69","-69","-69"
"6","-86","-86","-86"
"7","-66","-66","-66"
"8","-87","-87","-87"
"9","-90","-90","-90"
"10","-75","-75","-75"
"11","-73","-73","-73"
"12","-72","-72","-72"
"13","-73","-73","-73"
"14","-66","-66","-66"
"15","-88","-88","-88"
"16","-75","-75","-75"
"17","-65","-65","-65"
"18","-65","-65","-65"
"19","-66","-66","-66"
"20","-81","-81","-81"
"21","-72","-72","-72"
"22","-72","-72","-72"
"23","-70","-70","-70"
"24","-72","-72","-72"
"25","-73","-73","-73"
"26","-65","-65","-65"
"27","-65","-65","-65"
"28","-72","-72","-72"
"29","-70","-70","-70"
"30","-63","-63","-63"
"31","-75","-75","-75"
"32","-77","-77","-77"
"33","-65","-65","-65"
"34","-64","-64","-64"
"35","-64","-64","-64"
"36","-72","-72","-72"
"37","-71","-71","-71"
"38","-64","-64","-64"
"39","-74","-74","-74"
"40","-74","-74","-74"
"41","-75","-75","-75"
"42","-73","-73","-73"
"43","-77","-77","-77"
"44","-66","-66","-66"
"45","-62","-62","-62"
"46","-70","-70","-70"
"47","-71","-71","-71"
"48","-71","-71","-71"
"49","-62","-62","-62"
"50","-71","-71","-71"
"51","-62","-62","-62"
"52","-72","-72","-72"
"53","-65","-65","-65"
"54","-73","-73","-73"
"55","-66","-66","-66"
"56","-65","-65","-65"
"57","-67","-67","-67"
"58","-64","-64","-64"
"59","-62","-62","-62"
"60","-67","-67","-67"
"61","-63","-63","-63"
"62","-65","-65","-65"
"63","-65","-65","-65"
"64","-65","-65","-65"
"65","-62","-62","-62"
"66","-64","-64","-64"
"67","-71","-71","-71"
"68","-66","-66","-66"
"69","-71","-71","-71"
"70","-63","-63","-63"
"71","-65","-65","-65"
"72","-62","-62","-62"
"73","-64","-64","-64"
"74","-63","-63","-63"
"75","-64","-64","-64"
"76","-67","-67","-67"
"77","-65","-65","-65"
"78","-63","-63","-63"
"79","-64","-64","-64"
"80","-73","-73","-73"
"81","-64","-64","-64"
"82","-63","-63","-63"
"83","-65","-65","-65"
"84","-63","-63","-63"
"85","-63","-63","-63"
"86","-63","-63","-63"
"87","-65","-65","-65"
"88","-64","-64","-64"
"89","-65","-65","-65"
"90","-63","-63","-63"
"91","-64","-64","-64"
"92","-65","-65","-65"
"93","-64","-64","-64"
"94","-65","-65","-65"
"95","-63","-63","-63"
"96","-65","-65","-65"
"97","-64","-64","-64"
"98","-64","-64","-64"
"99","-63","-63","-63"
"100","-63","-63","-63"
"101","-63","-63","-63"
"102","-64","-64","-64"
"103","-61","-61","-61"
"104","-63","-63","-63"
"105","-64","-64","-64"
"106","-63","-63","-63"
"107","-64","-64","-64"
"108","-63","-63","-63"
"109","-66","-66","-66"
"110","-64","-64","-64"
"111","-64","-64","-64"
"112","-64","-64","-64"
"113","-65","-65","-65"
"114","-62","-62","-62"
"115","-63","-63","-63"
"116","-64","-64","-64"
"117","-64","-64","-64"
"118","-63","-63","-63"
"119","-64","-64","-64"
"120","-64","-64","-64"
"121","-63","-63","-63"
"122","-64","-64","-64"
"123","-64","-64","-64"
"124","-64","-64","-64"
"125","-64","-64","-64"
"126","-64","-64","-64"
"127","-64","-64","-64"
"128","-63","-63","-63"
"129","-63","-63","-63"
"130","-63","-63","-63"
"131","-63","-63","-63"
"132","-63","-63","-63"
"133","-63","-63","-63"
"134","-64","-64","-64"
"135","-63","-63","-63"
"136","-64","-64","-64"
"137","-64","-64","-64"
"138","-63","-63","-63"
"139","-64","-64","-64"
"140","-64","-64","-64"
"141","-64","-64","-64"
"142","-62","-62","-62"
"143","-63","-63","-63"
"144","-62","-62","-62"
"145","-62","-62","-62"
"146","-64","-64","-64"
"147","-64","-64","-64"
"148","-63","-63","-63"
"149","-62","-62","-62"
"150","-62","-62","-62"
"151","-63","-63","-63"
"152","-63","-63","-63"
"153","-63","-63","-63"
"154","-62","-62","-62"
"155","-64","-64","-64"
"156","-63","-63","-63"
"157","-63","-63","-63"
"158","-63","-63","-63"
"159","-64","-64","-64"
"160","-63","-63","-63"
"161","-63","-63","-63"
"162","-63","-63","-63"
"163","-64","-64","-64"
"164","-63","-63","-63"
"165","-63","-63","-63"
"166","-64","-64","-64"
"167","-63","-63","-63"
"168","-63","-63","-63"
"169","-63","-63","-63"
"170","-63","-63","-63"
"171","-63","-63","-63"
"172","-63","-63","-63"
"173","-64","-64","-64"
"174","-64","-64","-64"
"175","-64","-64","-64"
"176","-62","-62","-62"
"177","-64","-64","-64"
"178","-63","-63","-63"
"179","-64","-64","-64"
"180","-64","-64","-64"
"181","-63","-63","-63"
"182","-62","-62","-62"
"183","-63","-63","-63"
"184","-63","-63","-63"
"185","-63","-63","-63"
"186","-63","-63","-63"
"187","-63","-63","-63"
"188","-64","-64","-64"
"189","-64","-64","-64"
"190","-63","-63","-63"
"191","-64","-64","-64"
"192","-65","-65","-65"
"193","-64","-64","-64"
"194","-64","-64","-64"
"195","-57","-57","-57"
"196","-64","-64","-64"
"197","-63","-63","-63"
"198","-63","-63","-63"
"199","-64","-64","-64"
"200","-63","-63","-63"
"201","-64","-64","-64"
"202","-64","-64","-64"
"203","-63","-63","-63"
"204","-63","-63","-63"
"205","-64","-64","-64"
"206","-61","-61","-61"
"207","-69","-69","-69"
"208","-64","-64","-64"
"209","-63","-63","-63"
"210","-64","-64","-64"
"211","-63","-63","-63"
"212","-64","-64","-64"
"213","-64","-64","-64"
"214","-63","-63","-63"
"215","-64","-64","-64"
"216","-63","-63","-63"
"217","-63","-63","-63"
"218","-63","-63","-63"
"219","-63","-63","-63"
"220","-64","-64","-64"
"221","-62","-62","-62"
"222","-62","-62","-62"
"223","-64","-64","-64"
"224","-63","-63","-63"
"225","-64","-64","-64"
"226","-64","-64","-64"
"227","-63","-63","-63"
"228","-63","-63","-63"
"229","-63","-63","-63"
"230","-62","-62","-62"
"231","-63","-63","-63"
"232","-63","-63","-63"
"233","-63","-63","-63"
"234","-63","-63","-63"
"235","-63","-63","-63"
"236","-63","-63","-63"
"237","-65","-65","-65"
"238","-58","-58","-58"
"239","-64","-64","-64"
"240","-63","-63","-63"
"241","-62","-62","-62"
"242","-64","-64","-64"
"243","-64","-64","-64"
"244","-64","-64","-64"
"245","-63","-63","-63"
"246","-63","-63","-63"
"247","-64","-64","-64"
"248","-65","-65","-65"
"249","-64","-64","-64"
"250","-57","-57","-57"
"251","-63","-63","-63"
"252","-64","-64","-64"
"253","-63","-63","-63"
"254","-63","-63","-63"
"255","-63","-63","-63"
"256","-63","-63","-63"
"257","-64","-64","-64"
"258","-62","-62","-62"
"259","-64","-64","-64"
"260","-63","-63","-63"
"261","-64","-64","-64"
"262","-63","-63","-63"
"263","-63","-63","-63"
"264","-65","-65","-65"
"265","-63","-63","-63"
"266","-64","-64","-64"
"267","-64","-64","-64"
"268","-64","-64","-64"
"269","-63","-63","-63"
"270","-62","-62","-62"
"271","-64","-64","-64"
"272","-63","-63","-63"
"273","-63","-63","-63"
"274","-65","-65","-65"
"275","-63","-63","-63"
"276","-64","-64","-64"
"277","-64","-64","-64"
"278","-63","-63","-63"
"279","-63","-63","-63"
"280","-61","-61","-61"
"281","-64","-64","-64"
"282","-63","-63","-63"
"283","-64","-64","-64"
"284","-63","-63","-63"
"285","-64","-64","-64"
"286","-65","-65","-65"
"287","-64","-64","-64"
"288","-64","-64","-64"
"289","-63","-63","-63"
"290","-63","-63","-63"
"291","-64","-64","-64"
"292","-64","-64","-64"
"293","-63","-63","-63"
"294","-63","-63","-63"
"295","-64","-64","-64"
"296","-64","-64","-64"
"297","-57","-57","-57"
"298","-63","-63","-63"
"299","-62","-62","-62"
"300","-64","-64","-64"
"301","-64","-64","-64"
"302","-64","-64","-64"
"303","-63","-63","-63"
"304","-63","-63","-63"
"305","-63","-63","-63"
"306","-63","-63","-63"
"307","-63","-63","-63"
"308","-64","-64","-64"
"309","-63","-63","-63"
"310","-65","-65","-65"
"311","-64","-64","-64"
"312","-63","-63","-63"
"313","-62","-62","-62"
"314","-64","-64","-64"
"315","-66","-66","-66"
"316","-63","-63","-63"
"317","-63","-63","-63"
"318","-64","-64","-64"
"319","-64","-64","-64"
"320","-65","-65","-65"
"321","-64","-64","-64"
"322","-63","-63","-63"
"323","-63","-63","-63"
"324","-63","-63","-63"
"325","-63","-63","-63"
"326","-57","-57","-57"
"327","-63","-63","-63"
"328","-64","-64","-64"
"329","-66","-66","-66"
"330","-63","-63","-63"
"331","-64","-64","-64"
"332","-65","-65","-65"
"333","-63","-63","-63"
"334","-65","-65","-65"
"335","-64","-64","-64"
"336","-64","-64","-64"
"337","-64","-64","-64"
"338","-63","-63","-63"
"339","-64","-64","-64"
"340","-64","-64","-64"
"341","-62","-62","-62"
"342","-64","-64","-64"
"343","-63","-63","-63"
"344","-63","-63","-63"
"345","-64","-64","-64"
"346","-63","-63","-63"
"347","-62","-62","-62"
"348","-63","-63","-63"
"349","-64","-64","-64"
"350","-64","-64","-64"
"351","-63","-63","-63"
"352","-64","-64","-64"
"353","-64","-64","-64"
"354","-63","-63","-63"
"355","-63","-63","-63"
"356","-64","-64","-64"
"357","-64","-64","-64"
"358","-64","-64","-64"
"359","-64","-64","-64"
"360","-65","-65","-65"
"361","-63","-63","-63"
"362","-64","-64","-64"
"363","-63","-63","-63"
"364","-64","-64","-64"
"365","-64","-64","-64"
"366","-63","-63","-63"
"367","-64","-64","-64"
"368","-64","-64","-64"
"369","-64","-64","-64"
"370","-64","-64","-64"
"371","-63","-63","-63"
"372","-63","-63","-63"
"373","-63","-63","-63"
"374","-64","-64","-64"
"375","-64","-64","-64"
"376","-63","-63","-63"
"377","-64","-64","-64"
"378","-62","-62","-62"
"379","-67","-67","-67"
"380","-64","-64","-64"
"381","-64","-64","-64"
"382","-66","-66","-66"
"383","-65","-65","-65"
"384","-71","-71","-71"
"385","-64","-64","-64"
"386","-63","-63","-63"
"387","-63","-63","-63"
"388","-62","-62","-62"
"389","-64","-64","-64"
"390","-64","-64","-64"
"391","-62","-62","-62"
"392","-64","-64","-64"
"393","-62","-62","-62"
"394","-71","-71","-71"
"395","-62","-62","-62"
"396","-64","-64","-64"
"397","-66","-66","-66"
"398","-64","-64","-64"
"399","-64","-64","-64"
"400","-200","-200","-200"
"401","-200","-200","-200"
"402","-200","-200","-200"
"403","-200","-200","-200"
"404","-200","-200","-200"
"405","-200","-200","-200"
"406","-200","-200","-200"
