"Step","brax_ppo/num_timesteps_800000 - current_best_fitness","brax_ppo/num_timesteps_800000 - current_best_fitness__MIN","brax_ppo/num_timesteps_800000 - current_best_fitness__MAX"
"0","-200","-200","-200"
"1","-194.4765625","-194.4765625","-194.4765625"
"2","-167.1953125","-167.1953125","-167.1953125"
"3","-123.0859375","-123.0859375","-123.0859375"
"4","-106.8046875","-106.8046875","-106.8046875"
"5","-90.703125","-90.703125","-90.703125"
"6","-85.234375","-85.234375","-85.234375"
"7","-86.859375","-86.859375","-86.859375"
"8","-82.7578125","-82.7578125","-82.7578125"
"9","-81.4453125","-81.4453125","-81.4453125"
"10","-79.234375","-79.234375","-79.234375"
"11","-81.984375","-81.984375","-81.984375"
"12","-84.09375","-84.09375","-84.09375"
"13","-81.75","-81.75","-81.75"
"14","-79.8984375","-79.8984375","-79.8984375"
"15","-81.2578125","-81.2578125","-81.2578125"
"16","-82.265625","-82.265625","-82.265625"
"17","-81.0625","-81.0625","-81.0625"
"18","-80.3515625","-80.3515625","-80.3515625"
"19","-81.4140625","-81.4140625","-81.4140625"
"20","-81.015625","-81.015625","-81.015625"
"21","-80.8515625","-80.8515625","-80.8515625"
"22","-79.921875","-79.921875","-79.921875"
"23","-80.484375","-80.484375","-80.484375"
"24","-82.625","-82.625","-82.625"
"25","-83.359375","-83.359375","-83.359375"
"26","-81.65625","-81.65625","-81.65625"
"27","-81.0390625","-81.0390625","-81.0390625"
"28","-84.1875","-84.1875","-84.1875"
"29","-81.0234375","-81.0234375","-81.0234375"
"30","-82.71875","-82.71875","-82.71875"
"31","-81.3125","-81.3125","-81.3125"
"32","-83.03125","-83.03125","-83.03125"
"33","-79.453125","-79.453125","-79.453125"
"34","-82.4375","-82.4375","-82.4375"
"35","-81.609375","-81.609375","-81.609375"
"36","-82.984375","-82.984375","-82.984375"
"37","-83.4453125","-83.4453125","-83.4453125"
"38","-82.5859375","-82.5859375","-82.5859375"
"39","-83.90625","-83.90625","-83.90625"
"40","-81.7265625","-81.7265625","-81.7265625"
"41","-82.25","-82.25","-82.25"
"42","-83","-83","-83"
"43","-81.3828125","-81.3828125","-81.3828125"
"44","-82.8203125","-82.8203125","-82.8203125"
"45","-83.21875","-83.21875","-83.21875"
"46","-82.59375","-82.59375","-82.59375"
"47","-84.0546875","-84.0546875","-84.0546875"
"48","-83.9765625","-83.9765625","-83.9765625"
"49","-81.7421875","-81.7421875","-81.7421875"
"50","-82.1796875","-82.1796875","-82.1796875"
"51","-81.5546875","-81.5546875","-81.5546875"
"52","-83.53125","-83.53125","-83.53125"
"53","-82.40625","-82.40625","-82.40625"
"54","-83.125","-83.125","-83.125"
"55","-84.6328125","-84.6328125","-84.6328125"
"56","-80.4609375","-80.4609375","-80.4609375"
"57","-84.453125","-84.453125","-84.453125"
"58","-80.078125","-80.078125","-80.078125"
"59","-81.671875","-81.671875","-81.671875"
"60","-83.5625","-83.5625","-83.5625"
"61","-83.1171875","-83.1171875","-83.1171875"
"62","-84.1015625","-84.1015625","-84.1015625"
"63","-80.625","-80.625","-80.625"
"64","-82.96875","-82.96875","-82.96875"
"65","-83.4296875","-83.4296875","-83.4296875"
"66","-83.296875","-83.296875","-83.296875"
"67","-81.203125","-81.203125","-81.203125"
"68","-79.640625","-79.640625","-79.640625"
"69","-83.640625","-83.640625","-83.640625"
"70","-81.0859375","-81.0859375","-81.0859375"
