"Step","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MIN","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MAX"
"0","-74","-74","-74"
"1","-64","-64","-64"
"2","-65","-65","-65"
"3","-95","-95","-95"
"4","-67","-67","-67"
"5","-76","-76","-76"
"6","-67","-67","-67"
"7","-72","-72","-72"
"8","-65","-65","-65"
"9","-73","-73","-73"
"10","-73","-73","-73"
"11","-76","-76","-76"
"12","-73","-73","-73"
"13","-73","-73","-73"
"14","-74","-74","-74"
"15","-65","-65","-65"
"16","-67","-67","-67"
"17","-73","-73","-73"
"18","-65","-65","-65"
"19","-71","-71","-71"
"20","-71","-71","-71"
"21","-67","-67","-67"
"22","-81","-81","-81"
"23","-72","-72","-72"
"24","-81","-81","-81"
"25","-70","-70","-70"
"26","-64","-64","-64"
"27","-72","-72","-72"
"28","-64","-64","-64"
"29","-73","-73","-73"
"30","-71","-71","-71"
"31","-83","-83","-83"
"32","-65","-65","-65"
"33","-86","-86","-86"
"34","-64","-64","-64"
"35","-71","-71","-71"
"36","-74","-74","-74"
"37","-75","-75","-75"
"38","-64","-64","-64"
"39","-65","-65","-65"
"40","-76","-76","-76"
"41","-71","-71","-71"
"42","-72","-72","-72"
"43","-75","-75","-75"
"44","-80","-80","-80"
"45","-72","-72","-72"
"46","-72","-72","-72"
"47","-76","-76","-76"
"48","-75","-75","-75"
"49","-76","-76","-76"
"50","-84","-84","-84"
"51","-64","-64","-64"
"52","-72","-72","-72"
"53","-70","-70","-70"
"54","-70","-70","-70"
"55","-64","-64","-64"
"56","-73","-73","-73"
"57","-77","-77","-77"
"58","-72","-72","-72"
"59","-84","-84","-84"
"60","-63","-63","-63"
"61","-65","-65","-65"
"62","-63","-63","-63"
"63","-65","-65","-65"
"64","-63","-63","-63"
"65","-71","-71","-71"
"66","-62","-62","-62"
"67","-62","-62","-62"
"68","-64","-64","-64"
"69","-73","-73","-73"
"70","-72","-72","-72"
"71","-74","-74","-74"
"72","-71","-71","-71"
"73","-72","-72","-72"
"74","-64","-64","-64"
"75","-65","-65","-65"
"76","-72","-72","-72"
"77","-66","-66","-66"
"78","-70","-70","-70"
"79","-70","-70","-70"
"80","-72","-72","-72"
"81","-74","-74","-74"
"82","-65","-65","-65"
"83","-72","-72","-72"
"84","-65","-65","-65"
"85","-64","-64","-64"
"86","-66","-66","-66"
"87","-65","-65","-65"
"88","-65","-65","-65"
"89","-65","-65","-65"
"90","-65","-65","-65"
"91","-65","-65","-65"
"92","-65","-65","-65"
"93","-71","-71","-71"
"94","-76","-76","-76"
"95","-67","-67","-67"
"96","-72","-72","-72"
"97","-65","-65","-65"
"98","-66","-66","-66"
"99","-72","-72","-72"
"100","-64","-64","-64"
"101","-64","-64","-64"
"102","-74","-74","-74"
"103","-68","-68","-68"
"104","-65","-65","-65"
"105","-64","-64","-64"
"106","-72","-72","-72"
"107","-64","-64","-64"
"108","-68","-68","-68"
"109","-62","-62","-62"
"110","-76","-76","-76"
"111","-63","-63","-63"
"112","-69","-69","-69"
"113","-64","-64","-64"
"114","-74","-74","-74"
"115","-73","-73","-73"
"116","-66","-66","-66"
"117","-66","-66","-66"
"118","-69","-69","-69"
"119","-72","-72","-72"
"120","-65","-65","-65"
"121","-65","-65","-65"
"122","-64","-64","-64"
"123","-70","-70","-70"
"124","-64","-64","-64"
"125","-65","-65","-65"
"126","-65","-65","-65"
"127","-65","-65","-65"
"128","-67","-67","-67"
"129","-65","-65","-65"
"130","-66","-66","-66"
"131","-65","-65","-65"
"132","-63","-63","-63"
"133","-63","-63","-63"
"134","-64","-64","-64"
"135","-64","-64","-64"
"136","-66","-66","-66"
"137","-64","-64","-64"
"138","-69","-69","-69"
"139","-65","-65","-65"
"140","-63","-63","-63"
"141","-64","-64","-64"
"142","-71","-71","-71"
"143","-64","-64","-64"
"144","-65","-65","-65"
"145","-64","-64","-64"
"146","-65","-65","-65"
"147","-58","-58","-58"
"148","-64","-64","-64"
"149","-63","-63","-63"
"150","-63","-63","-63"
"151","-63","-63","-63"
"152","-65","-65","-65"
"153","-64","-64","-64"
"154","-64","-64","-64"
"155","-64","-64","-64"
"156","-64","-64","-64"
"157","-64","-64","-64"
"158","-64","-64","-64"
"159","-64","-64","-64"
"160","-61","-61","-61"
"161","-62","-62","-62"
"162","-63","-63","-63"
"163","-64","-64","-64"
"164","-65","-65","-65"
"165","-64","-64","-64"
"166","-63","-63","-63"
"167","-63","-63","-63"
"168","-64","-64","-64"
"169","-64","-64","-64"
"170","-62","-62","-62"
"171","-64","-64","-64"
"172","-64","-64","-64"
"173","-62","-62","-62"
"174","-63","-63","-63"
"175","-63","-63","-63"
"176","-64","-64","-64"
"177","-64","-64","-64"
"178","-62","-62","-62"
"179","-62","-62","-62"
"180","-63","-63","-63"
"181","-63","-63","-63"
"182","-64","-64","-64"
"183","-64","-64","-64"
